config_from,config_to,hamming_dist
115332,117376,2
115332,117380,1
115332,117632,3
115332,117644,3
115332,118272,4
115332,118400,3
115332,118656,4
115332,118658,5
115332,118900,6
115332,118908,7
115332,119428,1
115332,119436,2
115332,119558,4
115332,119692,3
115332,120956,8
115332,120957,9
115332,121205,9
115332,121213,10
115332,121333,8
115332,121335,9
115332,121343,10
115332,121740,4
115332,121742,5
115332,123392,3
115332,123394,4
115332,123396,2
115332,123397,3
115332,123398,3
115332,123414,4
115332,123415,5
115332,123520,2
115332,123521,3
115332,123524,1
115332,123525,2
115332,123526,2
115332,123527,3
115332,123543,4
115332,123648,4
115332,123650,5
115332,123654,4
115332,123776,3
115332,123780,2
115332,123782,3
115332,123910,5
115332,124032,4
115332,124036,3
115332,124037,4
115332,124416,4
115332,124419,6
115332,124420,3
115332,124422,4
115332,124423,5
115332,124548,2
115332,124678,5
115332,124800,4
115332,124802,5
115332,124804,3
115332,125440,4
115332,125446,4
115332,125569,4
115332,125573,3
115332,125824,4
115332,125828,3
115332,125830,4
115332,125836,4
115332,125958,6
115332,126464,5
115332,126465,6
115332,126466,6
115332,126470,5
115332,126593,5
115332,126722,7
115332,126848,5
115332,126849,6
115332,126850,6
115332,126852,4
115332,126853,5
115332,128896,5
115332,129279,10
115332,129535,11
115332,129926,5
115332,129932,5
115332,129934,6
115332,130944,6
115332,205696,6
115332,230146,6
115332,230272,4
115332,230274,5
115332,230278,4
115332,231298,6
115332,232452,6
115332,232453,7
115332,232454,7
115332,232966,6
115332,234246,6
115332,234374,5
115332,238464,5
115332,238466,6
115332,238528,6
115332,239104,6
115332,241536,7
115332,241538,8
115332,245632,8
115332,245636,7
115332,250630,5
115332,256512,5
115332,256902,5
115332,257538,7
115332,257794,8
115332,257922,7
115332,257926,6
115332,262144,7
115332,262208,8
115332,262656,6
115332,262660,5
115332,262918,7
115332,262926,8
115332,263556,7
115332,263684,6
115332,264068,6
115332,264076,7
115332,270400,9
115332,271424,10
115332,271425,11
115332,279040,5
115332,279042,6
115332,279044,4
115332,279046,5
115332,279302,6
115332,279310,7
115332,294912,6
115332,295040,5
115332,295360,7
115332,295552,4
115332,295553,5
115332,295557,4
115332,295680,6
115332,295682,7
115332,295686,6
115332,295808,5
115332,295872,6
115332,296454,6
115332,296832,6
115332,296838,6
115332,296839,7
115332,296844,6
115332,298886,7
115332,311296,5
115332,311300,4
115332,311308,5
115332,311808,4
115332,311812,3
115332,312070,5
115332,312199,5
115332,312836,4
115332,313094,6
115332,313223,6
115332,316166,6
115332,316294,5
115332,316295,6
115332,320000,5
115332,320128,4
115332,320384,5
115332,328196,4
115332,335936,8
115332,336390,6
115332,336768,6
115332,336960,9
115332,337664,8
115332,337792,7
115332,344576,4
115332,344578,5
115332,344580,3
115332,344710,3
115332,344832,5
115332,344836,4
115332,344838,5
115332,344966,4
115332,346886,6
115332,352256,6
115332,352320,7
115332,352768,5
115332,352774,5
115332,352896,4
115332,353030,6
115332,353152,5
115332,356230,7
115332,360448,5
115332,360580,3
115332,360710,6
115332,360960,4
115332,360962,5
115332,360964,3
115332,360965,4
115332,360966,4
115332,361088,3
115332,361092,2
115332,361093,3
115332,361094,3
115332,361216,5
115332,361218,6
115332,361222,5
115332,361226,7
115332,361230,6
115332,361344,4
115332,361346,5
115332,361348,3
115332,361350,4
115332,361352,5
115332,361354,6
115332,361356,4
115332,361358,5
115332,361366,5
115332,361408,5
115332,361412,4
115332,361472,6
115332,361476,5
115332,361604,4
115332,361984,5
115332,361986,6
115332,361988,4
115332,361989,5
115332,361990,5
115332,362112,4
115332,362116,3
115332,362117,4
115332,362118,4
115332,362176,5
115332,362240,6
115332,362245,6
115332,362246,6
115332,362368,5
115332,362371,7
115332,362372,4
115332,362374,5
115332,362376,6
115332,362380,5
115332,362382,6
115332,363404,5
115332,364294,7
115332,364420,5
115332,364422,6
115332,365188,3
115332,369152,5
115332,369156,4
115332,369157,5
115332,369158,5
115332,369281,5
115332,369284,3
115332,369285,4
115332,369412,5
115332,369536,5
115332,369537,6
115332,369538,6
115332,369540,4
115332,369542,5
115332,369548,5
115332,369550,6
