config_from,config_to,t_to
1017734,501639,11
1017734,1017734,11
1017734,886662,11
1017734,1017734,11
1017734,1025926,11
1017734,1025926,11
1017734,493446,11
1017734,1017734,11
1017734,362372,11
1017734,492417,11
1017734,1017730,11
1017734,1017730,11
1017734,493446,11
1017734,1017734,11
1017734,1025926,11
1017734,1017734,11
1017734,1025922,11
1017734,1017735,11
1017734,1017734,11
1017734,886662,11
1017734,1034118,11
1017734,886662,11
1017734,1017735,11
1017734,1025926,11
1017734,1017734,11
1017734,1019782,11
1017734,984998,11
1017734,1017735,11
1017734,1017734,11
1017734,1025926,11
1017734,1017742,11
1017734,493446,11
1017734,886662,11
1017734,1017734,11
1017734,1036166,11
1017734,493447,11
1017734,1025926,11
1017734,503686,11
1017734,1017606,11
1017734,1025926,11
1017734,885638,11
1017734,1017734,11
1017734,1030022,11
1017734,1017735,11
651142,655238,11
651142,651138,11
651142,651142,11
651142,651142,11
651142,651142,11
651142,651138,11
651142,651138,11
651142,634758,11
651142,651142,11
651142,651143,11
651142,651142,11
651142,655238,11
651142,1044359,11
651142,651142,11
651142,651142,11
651142,782246,11
651142,651136,11
651142,126854,11
651142,126854,11
651142,651142,11
651142,126854,11
651142,126854,11
651142,650887,11
651142,651142,11
651142,651142,11
651142,781190,11
651142,651142,11
651142,650886,11
651142,896518,11
651142,634758,11
651142,651140,11
651142,896903,11
651142,651142,11
651142,651142,11
651142,126854,11
651142,651142,11
651142,786311,11
651142,650886,11
651142,651142,11
651142,102278,11
651142,651142,11
651142,655238,11
651142,913286,11
651142,782214,11
651142,651142,11
651142,651138,11
651142,634758,11
651142,624518,11
651142,651142,11
651142,651142,11
651142,651142,11
651142,651142,11
651142,651142,11
651142,130950,11
651142,650887,11
651142,650112,11
651142,655239,11
651142,782214,11
651142,126852,11
651142,634758,11
651142,650118,11
651142,651142,11
651142,262022,11
651142,634758,11
651142,651142,11
651142,638918,11
651142,380806,11
651142,651142,11
651142,651142,11
651142,651138,11
651142,634759,11
651142,765830,11
651142,1027974,11
651142,651142,11
651142,651206,11
651142,651138,11
651142,634758,11
651142,913286,11
651142,633734,11
651142,765827,11
651142,651142,11
651142,651142,11
651142,634758,11
651142,130950,11
651142,649862,11
651142,124802,11
651142,913286,11
651142,638854,11
651142,651142,11
651142,386950,11
651142,653191,11
651142,786054,11
651142,651142,11
651142,913286,11
651142,651142,11
651142,650886,11
651142,634758,11
651142,126854,11
651142,634759,11
651142,655238,11
650759,650887,11
650759,785926,11
650759,650753,11
650759,126471,11
650759,650887,11
650759,912903,11
650759,781959,11
650759,634375,11
650759,1043975,11
650759,649734,11
650759,1027591,11
650759,650758,11
650759,650754,11
650759,634374,11
650759,650759,11
650759,634502,11
650759,634503,11
650759,765575,11
650759,388614,11
650759,785926,11
650759,650754,11
650759,126727,11
650759,654854,11
650759,651015,11
650759,896647,11
650759,650757,11
650759,781955,11
650759,634503,11
650759,634369,11
650759,124423,11
650759,650887,11
650759,1033735,11
650759,1043973,11
650759,781831,11
650759,634503,11
650759,648838,11
650759,642560,11
650759,372231,11
650759,634374,11
650759,779780,11
650759,650887,11
650759,650759,11
650759,1044231,11
650759,781959,11
650759,634370,11
650759,650759,11
650759,650758,11
650759,650755,11
650759,650758,11
650759,650753,11
650759,650887,11
650759,650754,11
650759,767495,11
650759,765446,11
650759,780807,11
650759,650759,11
650759,650754,11
650759,650754,11
650759,650759,11
650759,110343,11
650759,650758,11
650759,650791,11
650759,650759,11
650759,650759,11
650759,650756,11
650759,650759,11
650759,634375,11
650759,650759,11
650759,1043974,11
650759,781827,11
650759,650887,11
650759,654854,11
650759,649223,11
650759,781830,11
650759,114182,11
650759,650759,11
650759,909830,11
650759,650755,11
650759,1048070,11
650759,654854,11
650759,632327,11
650759,123905,11
650759,650887,11
650759,649734,11
650759,650759,11
650759,634375,11
650759,1027591,11
650759,650752,11
650759,110086,11
650759,910854,11
650759,126471,11
650759,634375,11
650759,387591,11
650759,110466,11
650759,261639,11
650759,781959,11
650759,634375,11
650759,648711,11
650759,634371,11
650759,650759,11
525313,524353,11
525313,819201,11
525313,263177,11
525313,558080,11
525313,689153,11
525313,533527,11
525313,558593,11
525313,558118,11
525313,885761,11
525313,525445,11
525313,525824,11
525313,656389,11
525313,787457,11
525313,1024,11
525313,623745,11
525313,425985,11
525313,532489,11
525313,525376,11
525313,688129,11
525313,1027,11
525313,328704,11
525313,524546,11
525313,533569,11
525313,525312,11
525313,99329,11
525313,787456,11
525313,557073,11
525313,786481,11
525313,918529,11
525313,558080,11
525313,574464,11
525313,524800,11
525313,664641,11
525313,1025,11
525313,524289,11
525313,918529,11
525313,574464,11
525313,688129,11
525313,525313,11
525313,525313,11
525313,525313,11
525313,558081,11
525313,525312,11
525313,558145,11
525313,638976,11
525313,632321,11
525313,1041,11
525313,1,11
525313,525312,11
525313,918529,11
525313,525312,11
525313,512,11
525313,525314,11
525313,541745,11
525313,525385,11
525313,66560,11
525313,262233,11
525313,655361,11
525313,66560,11
525313,526209,11
525313,787457,11
525313,83025,11
525313,656385,11
525313,132097,11
525313,525313,11
525313,525313,11
525313,262401,11
525313,786501,11
525313,1025,11
525313,525312,11
525313,787457,11
525313,525376,11
525313,656384,11
525313,527367,11
525313,525313,11
525313,558080,11
525313,263176,11
525313,918529,11
525313,787529,11
525313,65,11
525313,17417,11
525313,525889,11
525313,524288,11
525313,624128,11
525313,1024,11
525313,543745,11
525313,525824,11
525313,623619,11
525313,524289,11
525313,591360,11
525313,525312,11
525313,705537,11
525313,558593,11
525313,689153,11
525313,524288,11
525313,722432,11
525313,525312,11
525313,787457,11
525313,1,11
525313,689152,11
1027970,501634,11
1027970,1019777,11
1027970,507782,11
1027970,1025922,11
1027970,1025922,11
1027970,1027971,11
1027970,1019782,11
1027970,1027974,11
1027970,1025667,11
1027970,913282,11
1027970,1025926,11
1027970,1027976,11
1027970,1027974,11
1027970,1027970,11
1027970,1027970,11
1027970,1032066,11
1027970,1025920,11
1027970,1025922,11
1027970,769922,11
1027970,765826,11
1027970,1042310,11
1027970,1027970,11
1027970,1044358,11
1027970,370562,11
1027970,894854,11
1027970,1027970,11
1027970,1025958,11
1027970,1025922,11
1027970,1025666,11
1027970,765824,11
1027970,733058,11
1027970,1042306,11
1027970,1027974,11
1027970,1027970,11
1027970,894854,11
1027970,765830,11
1027970,1027970,11
1027970,765826,11
1027970,1027979,11
1027970,503680,11
1027970,765830,11
1027970,1027971,11
1027970,1032066,11
1027970,1027974,11
1027970,1027970,11
1027970,1044354,11
1027970,1027970,11
1027970,1027970,11
1027970,763778,11
1027970,1027970,11
1027970,1027968,11
1027970,1027968,11
1027970,1026946,11
1027970,634758,11
1027970,1027969,11
1027970,1044354,11
1027970,765826,11
1027970,1044358,11
1027970,1044358,11
1027970,1044354,11
1027970,1027970,11
1027970,896902,11
1027970,1027970,11
1027970,638854,11
1027970,493442,11
1027970,1044358,11
1027970,1027970,11
1027970,1027714,11
1027970,1042048,11
1027970,1025922,11
1027970,1025922,11
1027970,1027974,11
1027970,1025926,11
1027970,1025922,11
1027970,1044359,11
1027970,503682,11
1027970,765826,11
1027970,765826,11
1027970,1019782,11
1027970,765827,11
1027970,1017734,11
1027970,781187,11
1027970,1027970,11
1027970,520066,11
1027970,1027970,11
1027970,1027970,11
1027970,372610,11
1027970,995202,11
1027970,765826,11
1027970,1027974,11
1027970,1027970,11
1027970,782211,11
1027970,638850,11
1027970,1044354,11
1027970,765830,11
1027970,1044358,11
1027970,765826,11
1027970,1027970,11
1027970,1044358,11
1027970,634754,11
1048455,1044355,11
1048455,1048487,11
1048455,1048455,11
1048455,1048511,11
1048455,962439,11
1048455,1032070,11
1048455,1048454,11
1048455,1027975,11
1048455,1044359,11
1048455,1048455,11
1048455,1048455,11
1048455,1048455,11
1048455,1048455,11
1048455,1044359,11
1048455,1044358,11
1048455,1048455,11
1048455,786310,11
1048455,1048487,11
1048455,1048455,11
1048455,1044103,11
1048455,1048453,11
1048455,786310,11
1048455,1048454,11
1048455,524166,11
1048455,1044359,11
1048455,1027975,11
1048455,507782,11
1048455,786343,11
1048455,1048455,11
1048455,1047431,11
1048455,1048455,11
1048455,1032103,11
1048455,1032071,11
1048455,769991,11
1048455,786310,11
1048455,1048455,11
1048455,1032079,11
1048455,1019782,11
1048455,1048455,11
1048455,520071,11
1048455,524166,11
1048455,1048455,11
1048455,1044358,11
1048455,1042311,11
1048455,786310,11
1048455,1048455,11
1048455,786311,11
1048455,1048455,11
1048455,1048487,11
1048455,1048454,11
1048455,1044358,11
1048455,1048455,11
1048455,1048455,11
1048455,1044359,11
1048455,1048455,11
1048455,1044358,11
1048455,1042310,11
1048455,1048455,11
1048455,1048487,11
1048455,1048455,11
1048455,1032070,11
1048455,1048454,11
1048455,524167,11
1048455,647047,11
1048455,1048199,11
1048455,1048455,11
1048455,1048455,11
1048455,1048455,11
1048455,1044358,11
1048455,1048455,11
1048455,786311,11
1048455,786343,11
1048455,1048455,11
1048455,1048454,11
1048455,782215,11
1048455,1044359,11
1048455,1043334,11
1048455,1044359,11
1048455,1032071,11
1048455,1044359,11
1048455,786311,11
1048455,1048455,11
1048455,524167,11
1048455,1044359,11
1048455,786343,11
1048455,1044359,11
1048455,1048471,11
1048455,1048455,11
1048455,782215,11
1048455,1048455,11
1048455,1048455,11
1048455,1027975,11
1048455,1048455,11
1048455,1044358,11
1048455,1043335,11
1048455,1048455,11
1048455,520070,11
1048455,1044359,11
1048455,1027975,11
1048455,1048455,11
769927,769927,11
769927,782215,11
769927,765827,11
769927,638854,11
769927,1032071,11
769927,769927,11
769927,769926,11
769927,786310,11
769927,769926,11
769927,1027975,11
769927,769943,11
769927,1030023,11
769927,769926,11
769927,632711,11
769927,769927,11
769927,769927,11
769927,769926,11
769927,769926,11
769927,786310,11
769927,1032070,11
769927,769927,11
769927,1032103,11
769927,769959,11
769927,769927,11
769927,769927,11
769927,769927,11
769927,1048454,11
769927,769927,11
769927,769927,11
769927,769959,11
769927,761735,11
769927,765831,11
769927,769927,11
769927,1032070,11
769927,786359,11
769927,769927,11
769927,769927,11
769927,769927,11
769927,651171,11
769927,786311,11
769927,769926,11
769927,769927,11
769927,765830,11
769927,761735,11
769927,1019783,11
769927,769926,11
769927,769922,11
769927,638855,11
769927,769926,11
769927,769926,11
769927,769927,11
769927,1032071,11
769927,769927,11
769927,765831,11
769927,786311,11
769927,765831,11
769927,769927,11
769927,769927,11
769927,769927,11
769927,634758,11
769927,769926,11
769927,245639,11
769927,769927,11
769927,769719,11
769927,737159,11
769927,769927,11
769927,1023878,11
769927,769921,11
769927,769927,11
769927,769925,11
769927,769959,11
769927,761734,11
769927,634759,11
769927,769958,11
769927,786311,11
769927,769927,11
769927,769926,11
769927,1027975,11
769927,768899,11
769927,786310,11
769927,769927,11
769927,769927,11
769927,1027971,11
769927,241543,11
769927,769927,11
769927,786311,11
769927,769927,11
769927,767879,11
769927,638855,11
769927,769927,11
769927,769927,11
769927,1032071,11
769927,769926,11
769927,1032071,11
769927,1027719,11
769927,768903,11
769927,769926,11
769927,1032070,11
769927,765831,11
769927,765831,11
1032068,1030016,11
1032068,507782,11
1032068,520068,11
1032068,1032064,11
1032068,1048454,11
1032068,1032064,11
1032068,769926,11
1032068,1043332,11
1032068,1032068,11
1032068,1048449,11
1032068,1031942,11
1032068,1048452,11
1032068,1032065,11
1032068,1023877,11
1032068,1027972,11
1032068,376708,11
1032068,503685,11
1032068,372614,11
1032068,1027972,11
1032068,507777,11
1032068,769924,11
1032068,507783,11
1032068,769925,11
1032068,1027968,11
1032068,1032070,11
1032068,1032070,11
1032068,1027972,11
1032068,769924,11
1032068,1044356,11
1032068,507780,11
1032068,1044358,11
1032068,765824,11
1032068,1031042,11
1032068,1044352,11
1032068,1032068,11
1032068,1032070,11
1032068,1032068,11
1032068,1032064,11
1032068,1032070,11
1032068,1032070,11
1032068,786306,11
1032068,1032068,11
1032068,507780,11
1032068,1032100,11
1032068,1027972,11
1032068,638852,11
1032068,769668,11
1032068,1032068,11
1032068,507780,11
1032068,1027975,11
1032068,503684,11
1032068,786308,11
1032068,769926,11
1032068,1048452,11
1032068,769924,11
1032068,1032070,11
1032068,1032068,11
1032068,1032070,11
1032068,1027972,11
1032068,1030030,11
1032068,506756,11
1032068,1044357,11
1032068,769927,11
1032068,114560,11
1032068,1027973,11
1032068,1032070,11
1032068,651140,11
1032068,1032068,11
1032068,503685,11
1032068,1032070,11
1032068,1032071,11
1032068,1030020,11
1032068,524172,11
1032068,1032068,11
1032068,1024900,11
1032068,1044358,11
1032068,769921,11
1032068,241536,11
1032068,769926,11
1032068,900740,11
1032068,495492,11
1032068,1032064,11
1032068,769925,11
1032068,765831,11
1032068,782212,11
1032068,1032068,11
1032068,777984,11
1032068,245636,11
1032068,1025924,11
1032068,503685,11
1032068,1027972,11
1032068,638854,11
1032068,1032068,11
1032068,769926,11
1032068,765824,11
1032068,1027972,11
1032068,1032068,11
1032068,501632,11
1032068,1032069,11
1032068,769926,11
524175,507791,11
524175,524199,11
524175,520079,11
524175,438159,11
524175,524175,11
524175,1032071,11
524175,507782,11
524175,524174,11
524175,524175,11
524175,507783,11
524175,524239,11
524175,524175,11
524175,524167,11
524175,524175,11
524175,507791,11
524175,503695,11
524175,524167,11
524175,524175,11
524175,524175,11
524175,523151,11
524175,507783,11
524175,1048463,11
524175,503695,11
524175,520078,11
524175,524238,11
524175,1046415,11
524175,524167,11
524175,393102,11
524175,1048463,11
524175,524166,11
524175,1032070,11
524175,524173,11
524175,520070,11
524175,1046406,11
524175,507783,11
524175,524175,11
524175,524166,11
524175,520079,11
524175,524167,11
524175,524174,11
524175,524175,11
524175,253831,11
524175,491402,11
524175,487305,11
524175,523711,11
524175,524163,11
524175,520069,11
524175,786318,11
524175,524174,11
524175,524167,11
524175,1048463,11
524175,507790,11
524175,1032079,11
524175,1044359,11
524175,524167,11
524175,524175,11
524175,262021,11
524175,524174,11
524175,1032071,11
524175,520079,11
524175,524175,11
524175,1027983,11
524175,503687,11
524175,520069,11
524175,507782,11
524175,507783,11
524175,1027974,11
524175,520070,11
524175,1027982,11
524175,506767,11
524175,1048463,11
524175,1044359,11
524175,523151,11
524175,519047,11
524175,262023,11
524175,524174,11
524175,507790,11
524175,1048455,11
524175,1032079,11
524175,524206,11
524175,1044366,11
524175,507791,11
524175,524173,11
524175,1048463,11
524175,499591,11
524175,524167,11
524175,458703,11
524175,452495,11
524175,524166,11
524175,1044367,11
524175,507783,11
524175,1023879,11
524175,1048462,11
524175,524167,11
524175,1048511,11
524175,1048455,11
524175,524175,11
524175,1032079,11
524175,524207,11
524175,524166,11
378758,344964,11
378758,624514,11
378758,380806,11
378758,903046,11
378758,378758,11
378758,362374,11
378758,378758,11
378758,378758,11
378758,385798,11
378758,493446,11
378758,362374,11
378758,903046,11
378758,362246,11
378758,386950,11
378758,378758,11
378758,386950,11
378758,493318,11
378758,99846,11
378758,378758,11
378758,378758,11
378758,380806,11
378758,380806,11
378758,378630,11
378758,386950,11
378758,386950,11
378758,377734,11
378758,362374,11
378758,894854,11
378758,380806,11
378758,378758,11
378758,501634,11
378758,516998,11
378758,377734,11
378758,378630,11
378758,378758,11
378758,378758,11
378758,362374,11
378758,378756,11
378758,362374,11
378758,378630,11
378758,378756,11
378758,508806,11
378758,511878,11
378758,378758,11
378758,388998,11
378758,362372,11
378758,362374,11
378758,362375,11
378758,378758,11
378758,385926,11
378758,386950,11
378758,911238,11
378758,378758,11
378758,378758,11
378758,903046,11
378758,362374,11
378758,362374,11
378758,362374,11
378758,378758,11
378758,639878,11
378758,508806,11
378758,509830,11
378758,362246,11
378758,377734,11
378758,100230,11
378758,378758,11
378758,362374,11
378758,509830,11
378758,377734,11
378758,903046,11
378758,377606,11
378758,362372,11
378758,378758,11
378758,362374,11
378758,315268,11
378758,378502,11
378758,386950,11
378758,362374,11
378758,388998,11
378758,116614,11
378758,911238,11
378758,378758,11
378758,364422,11
378758,378626,11
378758,345990,11
378758,509846,11
378758,386950,11
378758,385926,11
378758,493446,11
378758,378756,11
378758,361350,11
378758,516998,11
378758,362374,11
378758,386951,11
378758,886662,11
378758,902022,11
378758,903046,11
378758,378758,11
378758,378630,11
378758,380806,11
1044358,1044358,11
1044358,786310,11
1044358,1044358,11
1044358,1043334,11
1044358,1043334,11
1044358,765826,11
1044358,520070,11
1044358,1048454,11
1044358,1044358,11
1044358,1044358,11
1044358,765830,11
1044358,520070,11
1044358,1048454,11
1044358,1027970,11
1044358,1044359,11
1044358,913286,11
1044358,911238,11
1044358,782214,11
1044358,1042306,11
1044358,1044358,11
1044358,1044230,11
1044358,520070,11
1044358,1041287,11
1044358,786310,11
1044358,1044359,11
1044358,520070,11
1044358,1044359,11
1044358,765830,11
1044358,1032070,11
1044358,1042311,11
1044358,1044358,11
1044358,1044358,11
1044358,782215,11
1044358,1025927,11
1044358,1032070,11
1044358,1044356,11
1044358,1027974,11
1044358,1044358,11
1044358,1044358,11
1044358,1027970,11
1044358,1044359,11
1044358,765831,11
1044358,1044358,11
1044358,1027975,11
1044358,1027974,11
1044358,1034118,11
1044358,911238,11
1044358,1027974,11
1044358,1027974,11
1044358,1043330,11
1044358,1027974,11
1044358,1044357,11
1044358,1044358,11
1044358,905094,11
1044358,1026950,11
1044358,1044358,11
1044358,896902,11
1044358,499590,11
1044358,782214,11
1044358,1044358,11
1044358,1043975,11
1044358,1044358,11
1044358,1044102,11
1044358,1032071,11
1044358,520066,11
1044358,1044358,11
1044358,1048454,11
1044358,1044358,11
1044358,913286,11
1044358,1043206,11
1044358,769922,11
1044358,1027970,11
1044358,913286,11
1044358,1044358,11
1044358,1027974,11
1044358,1044354,11
1044358,782214,11
1044358,1044352,11
1044358,1044358,11
1044358,1044358,11
1044358,1044358,11
1044358,1044358,11
1044358,380802,11
1044358,1027974,11
1044358,1044358,11
1044358,896774,11
1044358,1044358,11
1044358,1042310,11
1044358,1044358,11
1044358,1019782,11
1044358,786054,11
1044358,913286,11
1044358,1044097,11
1044358,1044358,11
1044358,1027975,11
1044358,782214,11
1044358,913286,11
1044358,1044358,11
1044358,1044358,11
1044358,1044359,11
1016832,1016962,11
1016832,361984,11
1016832,361474,11
1016832,886274,11
1016832,492544,11
1016832,1025536,11
1016832,394240,11
1016832,1016834,11
1016832,1018881,11
1016832,492544,11
1016832,1024000,11
1016832,1025024,11
1016832,754816,11
1016832,951296,11
1016832,1025025,11
1016832,624128,11
1016832,1016832,11
1016832,427008,11
1016832,1017344,11
1016832,697344,11
1016832,885248,11
1016832,1016448,11
1016832,1016840,11
1016832,1025026,11
1016832,1025024,11
1016832,1017344,11
1016832,886272,11
1016832,1017346,11
1016832,884736,11
1016832,492544,11
1016832,918784,11
1016832,1025024,11
1016832,361984,11
1016832,1016836,11
1016832,493056,11
1016832,492544,11
1016832,1025664,11
1016832,361472,11
1016832,427008,11
1016832,1025025,11
1016832,1016834,11
1016832,1033216,11
1016832,1015936,11
1016832,1016832,11
1016832,1015809,11
1016832,1025025,11
1016832,361472,11
1016832,1016834,11
1016832,492546,11
1016832,623616,11
1016832,1025536,11
1016832,507904,11
1016832,1033986,11
1016832,492548,11
1016832,508928,11
1016832,500736,11
1016832,886272,11
1016832,493056,11
1016832,1016832,11
1016832,1016832,11
1016832,508928,11
1016832,885761,11
1016832,492545,11
1016832,688128,11
1016832,762882,11
1016832,1016322,11
1016832,787520,11
1016832,492544,11
1016832,492545,11
1016832,951296,11
1016832,1016833,11
1016832,1017344,11
1016832,492544,11
1016832,756737,11
1016832,1016832,11
1016832,754304,11
1016832,493056,11
1016832,361990,11
1016832,1016832,11
1016832,853504,11
1016832,1015808,11
1016832,820226,11
1016832,491520,11
1016832,1025153,11
1016832,893440,11
1016832,492288,11
1016832,1016832,11
1016832,885760,11
1016832,1025538,11
1016832,361472,11
1016832,886272,11
1016832,1016834,11
1016832,885761,11
1016832,492800,11
1016832,493056,11
1016832,1016832,11
1016832,1016834,11
1016832,492544,11
1016832,959489,11
1016832,1017088,11
115332,647814,11
115332,909830,11
115332,377350,11
115332,115204,11
115332,386950,11
115332,574086,11
115332,115206,11
115332,385664,11
115332,639621,11
115332,377348,11
115332,377473,11
115332,123398,11
115332,125828,11
115332,123526,11
115332,377478,11
115332,647808,11
115332,99840,11
115332,902916,11
115332,115204,11
115332,115588,11
115332,385924,11
115332,98944,11
115332,377472,11
115332,385536,11
115332,1032838,11
115332,361088,11
115332,377732,11
115332,385926,11
115332,377348,11
115332,369156,11
115332,377734,11
115332,115584,11
115332,377728,11
115332,377348,11
115332,98948,11
115332,115204,11
115332,115332,11
115332,385664,11
115332,123782,11
115332,377732,11
115332,902020,11
115332,115588,11
115332,377734,11
115332,117376,11
115332,115332,11
115332,119692,11
115332,639620,11
115332,114692,11
115332,377732,11
115332,377476,11
115332,115207,11
115332,123776,11
115332,115200,11
115332,369540,11
115332,116356,11
115332,123396,11
115332,639488,11
115332,377478,11
115332,115330,11
115332,115588,11
115332,639492,11
115332,641670,11
115332,115204,11
115332,99204,11
115332,99204,11
115332,98948,11
115332,902016,11
115332,648836,11
115332,123520,11
115332,901764,11
115332,115329,11
115332,902790,11
115332,123782,11
115332,116614,11
115332,378372,11
115332,116614,11
115332,377348,11
115332,377476,11
115332,378500,11
115332,115588,11
115332,901766,11
115332,99968,11
115332,376836,11
115332,311812,11
115332,378368,11
115332,123782,11
115332,385668,11
115332,385665,11
115332,82566,11
115332,115204,11
115332,99076,11
115332,377348,11
115332,115206,11
115332,124548,11
115332,639622,11
115332,623492,11
115332,115584,11
115332,377476,11
115332,115332,11
115332,115332,11
1016833,230912,11
1016833,629761,11
1016833,492544,11
1016833,1016833,11
1016833,1016321,11
1016833,1017345,11
1016833,926721,11
1016833,492545,11
1016833,492545,11
1016833,1016833,11
1016833,492545,11
1016833,1016961,11
1016833,1016832,11
1016833,1016961,11
1016833,1027079,11
1016833,500736,11
1016833,1025025,11
1016833,1016833,11
1016833,492545,11
1016833,1025025,11
1016833,1016837,11
1016833,1016833,11
1016833,1032705,11
1016833,493184,11
1016833,1017344,11
1016833,427009,11
1016833,984192,11
1016833,951681,11
1016833,951296,11
1016833,1016833,11
1016833,1018880,11
1016833,492545,11
1016833,492545,11
1016833,1016321,11
1016833,1016833,11
1016833,1016961,11
1016833,492545,11
1016833,632833,11
1016833,1016833,11
1016833,758785,11
1016833,427521,11
1016833,951297,11
1016833,361601,11
1016833,1015809,11
1016833,1016961,11
1016833,1033217,11
1016833,1025027,11
1016833,754691,11
1016833,1025027,11
1016833,1016833,11
1016833,1017345,11
1016833,1017344,11
1016833,1025024,11
1016833,1016833,11
1016833,1017347,11
1016833,951297,11
1016833,1025025,11
1016833,1025537,11
1016833,902148,11
1016833,507905,11
1016833,1017219,11
1016833,1015809,11
1016833,492545,11
1016833,950401,11
1016833,1016321,11
1016833,1016832,11
1016833,361473,11
1016833,492544,11
1016833,1033345,11
1016833,1016833,11
1016833,886272,11
1016833,1016841,11
1016833,1017729,11
1016833,1016833,11
1016833,1016835,11
1016833,1017088,11
1016833,1016833,11
1016833,1016320,11
1016833,1016832,11
