config_from,config_to,t_to
1027974,1027974,11
1027974,1044359,11
1027974,1044358,11
1027974,1027974,11
1027974,1027974,11
1027974,1044366,11
1027974,1025926,11
1027974,1048455,11
1027974,1027975,11
1027974,1027970,11
1027974,634754,11
1027974,769798,11
1027974,888710,11
1027974,1019782,11
1027974,1027974,11
1027974,1027974,11
1027974,1027974,11
1027974,1027971,11
1027974,765831,11
1027974,1027970,11
1027974,1027975,11
1027974,1026950,11
1027974,1027974,11
1027974,765830,11
1027974,503686,11
1027974,1025926,11
1027974,241542,11
1027974,1027974,11
1027974,1027975,11
1027974,1027974,11
1027974,782215,11
1027974,1032070,11
1027974,1027974,11
1027974,1016710,11
1027974,1025922,11
1027974,1019783,11
1027974,765830,11
1027974,1027974,11
1027974,1025926,11
1027974,1027974,11
1027974,894850,11
1027974,1027974,11
1027974,1025927,11
1027974,896902,11
1027974,1044359,11
1027974,1027974,11
1027974,1032102,11
1027974,896902,11
1027974,1044359,11
1027974,765830,11
1027974,1044358,11
1027974,503686,11
1027974,896902,11
1027974,765830,11
1027974,503687,11
1027974,1027974,11
1027974,1027974,11
1027974,1027974,11
1027974,1027974,11
1027974,896896,11
1027974,1027972,11
1027974,1017735,11
1027974,1027974,11
1027974,1027975,11
1027974,503686,11
1027974,1027968,11
1027974,1027974,11
1027974,638854,11
1027974,1027974,11
1027974,1024902,11
1027974,1027974,11
1027974,1025927,11
1027974,1017734,11
1027974,1044358,11
1027974,1027971,11
1027974,511878,11
1027974,1042310,11
1027974,1027970,11
1027974,1032070,11
1027974,1027972,11
1027974,1027974,11
1027974,1027975,11
1027974,1044358,11
1027974,1044358,11
1027974,110470,11
1027974,1017735,11
1027974,1032070,11
1027974,1025926,11
1027974,1027974,11
1027974,1027975,11
1027974,1027974,11
1027974,1025922,11
1027974,1044358,11
1027974,1027974,11
1027974,1027974,11
1027974,896902,11
1027974,1027974,11
1027974,1027718,11
1027974,1027974,11
1027974,493446,11
648070,640902,11
648070,123526,11
648070,386950,11
648070,650118,11
648070,640902,11
648070,781186,11
648070,647814,11
648070,765826,11
648070,647814,11
648070,49798,11
648070,632454,11
648070,780162,11
648070,1041303,11
648070,648070,11
648070,782214,11
648070,650118,11
648070,631430,11
648070,779142,11
648070,909958,11
648070,910214,11
648070,640902,11
648070,126854,11
648070,648098,11
648070,911239,11
648070,893826,11
648070,894854,11
648070,912270,11
648070,1042310,11
648070,778885,11
648070,648070,11
648070,648066,11
648070,651142,11
648070,650114,11
648070,123782,11
648070,631686,11
648070,648066,11
648070,648070,11
648070,623494,11
648070,632710,11
648070,648070,11
648070,648070,11
648070,123782,11
648070,649094,11
648070,123782,11
648070,634758,11
648070,1041286,11
648070,650118,11
648070,124806,11
648070,648070,11
648070,651142,11
648070,650118,11
648070,639878,11
648070,893830,11
648070,123526,11
648070,123782,11
648070,639874,11
648070,633734,11
648070,631681,11
648070,639878,11
648070,361350,11
648070,648070,11
648070,640902,11
648070,649094,11
648070,631686,11
648070,648070,11
648070,124806,11
648070,634759,11
648070,648068,11
648070,1041286,11
648070,631686,11
648070,910215,11
648070,781186,11
648070,910212,11
648070,125830,11
648070,910214,11
648070,648068,11
648070,631686,11
648070,648070,11
648070,901894,11
648070,648066,11
648070,631686,11
648070,635782,11
648070,1041286,11
648070,385926,11
648070,115588,11
648070,648070,11
648070,648064,11
648070,107398,11
648070,650118,11
648070,632708,11
648070,911236,11
648070,632710,11
648070,633730,11
648070,623494,11
648070,893830,11
648070,648070,11
648070,649094,11
648070,903046,11
648070,516998,11
648070,894854,11
1017734,1016706,11
1017734,1025926,11
1017734,1017734,11
1017734,952198,11
1017734,886662,11
1017734,493446,11
1017734,1017734,11
1017734,1017735,11
1017734,1025926,11
1017734,624518,11
1017734,362374,11
1017734,1025926,11
1017734,1019782,11
1017734,1025926,11
1017734,1025922,11
1017734,1017734,11
1017734,1017734,11
1017734,1025926,11
1017734,1017735,11
1017734,1017730,11
1017734,501639,11
1017734,1017734,11
1017734,1019782,11
1017734,1025926,11
1017734,1017734,11
1017734,1025926,11
1017734,1025670,11
1017734,1025926,11
1017734,1025926,11
1017734,1017734,11
1017734,886662,11
1017734,1017734,11
1017734,1017734,11
1017734,493446,11
1017734,1017734,11
1017734,885382,11
1017734,911238,11
1017734,1017734,11
1017734,493447,11
1017734,1025926,11
1017734,1025926,11
1017734,886662,11
1017734,902022,11
1017734,501638,11
1017734,1025926,11
1017734,1017735,11
1017734,1017734,11
1017734,1017734,11
1017734,1025794,11
1017734,1021830,11
1017734,1017734,11
1017734,886662,11
1017734,1017734,11
1017734,1025926,11
1017734,1017734,11
1017734,1025926,11
