config_from,config_to,weight
115332,768,1
115332,896,14
115332,3584,1
115332,3586,1
115332,9088,1
115332,16896,2
115332,17280,1
115332,25088,16
115332,32768,6
115332,33152,9
115332,33216,3
115332,33280,6
115332,34305,5
115332,34308,1
115332,34309,2
115332,34694,9
115332,34816,5
115332,36352,1
115332,36353,2
115332,36738,6
115332,36740,4
115332,36742,10
115332,40838,1
115332,41472,1
115332,42882,4
115332,44930,5
115332,49152,10
115332,49160,1
115332,49164,6
115332,49280,1
115332,49664,10
115332,49668,2
115332,49792,1
115332,49796,2
115332,50048,1
115332,50053,6
115332,50054,3
115332,50055,3
115332,50692,1
115332,51078,1
115332,51079,2
115332,54149,1
115332,57856,2
115332,59270,1
115332,66050,2
115332,67074,9
115332,67330,9
115332,68098,2
115332,69122,4
115332,74624,5
115332,82432,2
115332,82434,2
115332,82560,1
115332,82564,7
115332,82566,2
115332,90624,12
115332,91648,4
115332,92672,8
115332,98304,10
115332,98816,12
115332,98820,3
115332,98944,31
115332,98946,3
115332,98948,12
115332,99072,18
115332,99076,6
115332,99078,3
115332,99200,86
115332,99202,2
115332,99204,27
115332,99206,10
115332,99212,1
115332,99332,3
115332,99334,7
115332,99456,1
115332,99840,31
115332,99842,5
115332,99844,2
115332,99846,12
115332,99968,17
115332,99969,4
115332,99972,4
115332,99973,4
115332,99974,2
115332,100096,2
115332,100102,1
115332,100224,34
115332,100226,7
115332,100228,13
115332,100230,35
115332,100238,1
115332,100352,1
115332,100864,2
115332,101254,9
115332,101380,3
115332,101381,13
115332,101888,4
115332,101890,7
115332,101894,5
115332,102272,4
115332,102274,2
115332,102276,7
115332,102278,1
115332,107008,17
115332,107141,1
115332,107392,26
115332,107394,1
115332,107396,5
115332,107398,6
115332,107520,9
115332,107522,1
115332,107524,2
115332,107526,2
115332,107653,1
115332,108032,7
115332,108034,5
115332,108036,4
115332,108038,7
115332,108164,11
115332,108165,4
115332,108166,16
115332,108416,3
115332,108418,8
115332,108420,5
115332,108422,3
115332,108430,5
115332,109056,13
115332,109446,2
115332,109568,5
115332,110080,4
115332,110082,10
115332,110468,1
115332,112262,1
115332,112512,2
115332,114560,6
115332,114688,8
115332,114690,12
115332,114692,11
115332,114694,2
115332,114695,1
115332,114740,1
115332,114804,3
115332,115072,3
115332,115200,55
115332,115202,20
115332,115204,109
115332,115205,2
115332,115206,47
115332,115207,6
115332,115222,12
115332,115252,1
115332,115254,8
115332,115328,36
115332,115329,2
115332,115330,9
115332,115332,199
115332,115333,1
115332,115334,33
115332,115456,39
115332,115460,6
115332,115462,9
115332,115584,40
115332,115588,75
115332,115589,2
115332,115590,13
115332,115596,3
115332,115714,1
115332,115840,4
115332,116096,6
115332,116224,9
115332,116226,3
115332,116227,1
115332,116228,7
115332,116230,4
115332,116231,1
115332,116352,1
115332,116356,7
115332,116358,1
115332,116484,1
115332,116486,14
115332,116608,5
115332,116612,1
115332,116614,11
115332,117248,3
115332,117376,7
115332,117380,5
115332,117632,7
115332,117644,3
115332,118272,10
115332,118400,7
115332,118656,3
115332,118658,1
115332,118900,2
115332,118908,2
115332,119428,5
115332,119436,4
115332,119558,1
115332,119692,4
115332,120956,2
115332,120957,2
115332,121205,8
115332,121213,1
115332,121333,2
115332,121335,1
115332,121343,6
115332,121740,1
115332,121742,4
115332,123392,47
115332,123394,19
115332,123396,15
115332,123397,1
115332,123398,18
115332,123414,2
115332,123415,2
115332,123520,15
115332,123521,5
115332,123524,39
115332,123525,12
115332,123526,10
115332,123527,14
115332,123543,1
115332,123648,1
115332,123650,3
115332,123654,3
115332,123776,40
115332,123780,8
115332,123782,17
115332,123910,2
115332,124032,5
115332,124036,7
115332,124037,1
115332,124416,2
115332,124419,6
115332,124420,1
115332,124422,10
115332,124423,1
115332,124548,8
115332,124678,4
115332,124800,2
115332,124802,5
115332,124804,2
115332,125440,26
115332,125446,7
115332,125569,1
115332,125573,1
115332,125824,21
115332,125828,9
115332,125830,7
115332,125836,1
115332,125958,3
115332,126464,3
115332,126465,4
115332,126466,30
115332,126470,7
115332,126593,12
115332,126722,3
115332,126848,18
115332,126849,6
115332,126850,10
115332,126852,2
115332,126853,1
115332,128896,1
115332,129279,2
115332,129535,1
115332,129926,12
115332,129932,1
115332,129934,6
115332,130944,14
115332,205696,8
115332,230146,8
115332,230272,4
115332,230274,2
115332,230278,5
115332,231298,1
115332,232452,5
115332,232453,2
115332,232454,2
115332,232966,3
115332,234246,1
115332,234374,5
115332,238464,7
115332,238466,2
115332,238528,1
115332,239104,5
115332,241536,1
115332,241538,2
115332,245632,1
115332,245636,3
115332,250630,3
115332,256512,1
115332,256902,6
115332,257538,4
115332,257794,2
115332,257922,4
115332,257926,2
115332,262144,3
115332,262208,1
115332,262656,7
115332,262660,3
115332,262918,5
115332,262926,1
115332,263556,3
115332,263684,2
115332,264068,1
115332,264076,2
115332,270400,1
115332,271424,2
115332,271425,6
115332,279040,11
115332,279042,3
115332,279044,1
115332,279046,9
115332,279302,2
115332,279310,3
115332,294912,1
115332,295040,5
115332,295360,4
115332,295552,3
115332,295553,1
115332,295557,7
115332,295680,1
115332,295682,7
115332,295686,4
115332,295808,11
115332,295872,2
115332,296454,6
115332,296832,9
115332,296838,2
115332,296839,4
115332,296844,6
115332,298886,3
115332,311296,1
115332,311300,1
115332,311308,4
115332,311808,6
115332,311812,4
115332,312070,7
115332,312199,4
115332,312836,3
115332,313094,4
115332,313223,1
115332,316166,7
115332,316294,3
115332,316295,1
115332,320000,3
115332,320128,2
115332,320384,2
115332,328196,9
115332,335936,14
115332,336390,4
115332,336768,6
115332,336960,5
115332,337664,15
115332,337792,2
115332,344576,15
115332,344578,5
115332,344580,7
115332,344710,1
115332,344832,1
115332,344836,5
115332,344838,12
115332,344966,5
115332,346886,6
115332,352256,5
115332,352320,13
115332,352768,9
115332,352774,1
115332,352896,5
115332,353030,1
115332,353152,7
115332,356230,3
115332,360448,9
115332,360580,1
115332,360710,3
115332,360960,86
115332,360962,1
115332,360964,3
115332,360965,1
115332,360966,5
115332,361088,1
115332,361092,5
115332,361093,3
115332,361094,3
115332,361216,34
115332,361218,7
115332,361222,1
115332,361226,3
115332,361230,3
115332,361344,29
115332,361346,4
115332,361348,28
115332,361350,17
115332,361352,4
115332,361354,1
115332,361356,24
115332,361358,9
115332,361366,1
115332,361408,9
115332,361412,1
115332,361472,21
115332,361476,14
115332,361604,1
115332,361984,78
115332,361986,2
115332,361988,7
115332,361989,7
115332,361990,29
115332,362112,25
115332,362116,4
115332,362117,2
115332,362118,7
115332,362176,7
115332,362240,14
115332,362245,2
115332,362246,28
115332,362368,13
115332,362371,4
115332,362372,22
115332,362374,129
115332,362376,5
115332,362380,16
115332,362382,4
115332,363404,5
115332,364294,3
115332,364420,13
115332,364422,8
115332,365188,2
115332,369152,65
115332,369156,3
115332,369157,4
115332,369158,1
115332,369281,3
115332,369284,1
115332,369285,3
115332,369412,6
115332,369536,14
115332,369537,2
115332,369538,4
115332,369540,28
115332,369542,22
115332,369548,16
115332,369550,5
115332,369666,10
115332,370176,46
115332,370178,26
115332,370180,10
115332,370182,5
115332,370304,2
115332,370305,2
115332,370308,12
115332,370432,1
115332,370436,10
115332,370437,3
115332,370560,1
115332,370561,6
115332,370562,6
115332,370563,4
115332,370564,10
115332,370566,52
115332,370567,3
115332,370574,4
115332,371586,9
115332,371590,7
115332,371596,4
115332,372486,4
115332,372609,3
115332,372613,2
115332,372614,28
115332,372615,8
115332,373380,1
115332,376832,46
115332,376833,5
115332,376834,6
115332,376836,6
115332,376837,1
115332,376838,11
115332,376902,2
115332,376964,9
115332,376966,2
115332,377094,3
115332,377344,78
115332,377346,3
115332,377348,59
115332,377349,5
115332,377350,41
115332,377351,4
115332,377414,3
115332,377472,17
115332,377473,6
115332,377476,84
115332,377477,3
115332,377478,19
115332,377600,26
115332,377602,9
115332,377604,2
115332,377606,24
115332,377728,47
115332,377729,26
115332,377730,2
115332,377732,79
115332,377733,1
115332,377734,58
115332,377735,1
115332,377736,14
115332,377740,2
115332,377742,10
