config_from,config_to,weight
115332,377750,3
115332,377856,1
115332,377862,2
115332,378368,29
115332,378370,7
115332,378371,1
115332,378372,19
115332,378374,32
115332,378496,5
115332,378500,6
115332,378502,2
115332,378624,2
115332,378626,3
115332,378628,15
115332,378630,4
115332,378752,20
115332,378754,2
115332,378756,5
115332,378757,2
115332,378758,67
115332,378760,1
115332,378766,6
115332,379776,5
115332,379782,6
115332,380422,5
115332,380676,1
115332,380678,2
115332,380800,10
115332,380804,3
115332,380806,4
115332,385024,22
115332,385028,2
115332,385280,3
115332,385536,73
115332,385538,15
115332,385540,38
115332,385542,17
115332,385664,43
115332,385665,8
115332,385666,4
115332,385668,19
115332,385670,2
115332,385792,11
115332,385794,3
115332,385796,2
115332,385798,6
115332,385920,80
115332,385921,9
115332,385922,1
115332,385924,60
115332,385926,42
115332,385928,6
115332,385932,11
115332,385934,12
115332,386176,1
115332,386560,25
115332,386562,11
115332,386563,3
115332,386564,2
115332,386566,23
115332,386688,9
115332,386690,1
115332,386691,3
115332,386692,3
115332,386694,2
115332,386822,12
115332,386944,6
115332,386945,4
115332,386946,9
115332,386948,7
115332,386950,48
115332,386958,9
115332,387712,1
115332,387714,1
115332,387846,3
115332,387968,3
115332,387970,2
115332,387974,16
115332,387976,4
115332,388610,9
115332,388614,2
115332,388736,1
115332,388738,1
115332,388740,4
115332,388741,2
115332,388743,1
115332,388994,6
115332,388996,26
115332,388998,28
115332,390016,5
115332,390020,3
115332,391040,1
115332,392070,1
115332,394628,1
115332,394630,1
115332,394694,1
115332,410112,2
115332,418304,1
115332,425983,1
115332,426496,1
115332,427520,1
115332,427912,1
115332,427913,1
115332,428934,1
115332,435712,3
115332,435968,1
115332,436097,1
115332,436105,10
115332,442880,1
115332,450688,2
115332,450689,1
115332,451072,1
115332,451200,2
115332,451201,4
115332,451457,2
115332,452481,4
115332,458751,6
115332,459648,7
115332,459776,1
115332,460288,1
115332,467840,6
115332,468480,3
115332,468736,4
115332,483840,6
115332,487174,1
115332,491520,1
115332,491522,2
115332,491526,8
115332,492032,4
115332,492034,7
115332,492164,1
115332,492165,1
115332,492416,9
115332,492418,3
115332,492420,4
115332,492422,14
115332,492423,1
115332,492424,3
115332,492544,14
115332,493056,10
115332,493313,1
115332,493315,5
115332,493318,3
115332,493440,3
115332,493442,21
115332,493443,3
115332,493444,3
115332,493446,27
115332,493448,3
115332,494342,2
115332,494470,2
115332,495494,7
115332,495622,2
115332,496134,1
115332,496260,4
115332,496262,1
115332,500608,4
115332,500610,1
115332,500612,4
115332,500614,17
115332,500616,2
115332,500622,3
115332,501248,3
115332,501250,9
115332,501254,11
115332,501376,3
115332,501382,3
115332,501383,1
115332,501504,2
115332,501505,1
115332,501632,3
115332,501633,11
115332,501634,2
115332,501635,2
115332,501636,2
115332,501638,8
115332,501639,1
115332,501641,3
115332,501644,2
115332,501646,12
115332,503682,8
115332,503686,22
115332,507776,1
115332,507780,10
115332,507782,3
115332,507904,1
115332,507906,5
115332,507910,4
115332,508416,13
115332,508418,2
115332,508672,3
115332,508678,1
115332,508802,3
115332,508804,2
115332,508806,5
115332,508807,2
115332,509440,5
115332,509442,1
115332,509574,8
115332,509697,7
115332,509698,1
115332,509702,5
115332,509830,1
115332,510726,5
115332,511494,3
115332,511750,1
115332,511878,2
115332,516096,7
115332,516098,1
115332,516099,1
115332,516354,8
115332,516608,25
115332,516610,2
115332,516614,7
115332,516615,4
115332,516741,1
115332,516742,1
115332,516743,4
115332,516864,7
115332,516866,14
115332,516870,8
115332,516992,8
115332,516994,27
115332,516996,7
115332,516997,17
115332,516998,20
115332,517000,9
115332,517004,7
115332,517006,2
115332,517634,6
115332,517635,1
115332,517638,28
115332,517639,5
115332,517767,2
115332,517889,1
115332,517890,30
115332,517894,16
115332,518016,5
115332,518017,2
115332,518018,9
115332,518020,5
115332,518021,1
115332,518022,21
115332,518656,9
115332,518658,15
115332,518662,2
115332,518784,6
115332,518914,2
115332,518918,3
115332,519046,5
115332,519682,4
115332,519815,3
115332,519938,8
115332,519942,1
115332,520066,6
115332,520068,14
115332,520070,16
115332,522752,2
115332,523263,1
115332,524034,3
115332,524164,2
115332,524287,10
115332,524672,6
115332,525184,5
115332,532864,1
115332,541584,1
115332,541616,2
115332,557440,1
115332,557702,15
115332,558726,3
115332,559104,2
115332,567170,1
115332,573958,8
115332,574084,5
115332,574086,10
115332,574342,5
115332,582150,1
115332,582534,7
115332,583558,4
115332,591362,1
115332,607110,4
115332,607120,10
115332,622592,2
115332,622596,7
115332,622720,1
115332,622724,1
115332,623104,14
115332,623105,8
115332,623106,2
115332,623108,1
115332,623232,4
115332,623233,23
115332,623236,5
115332,623237,1
115332,623488,7
115332,623492,7
115332,623494,9
115332,623504,9
115332,623620,4
115332,624128,17
115332,624130,6
115332,624132,1
115332,624134,15
115332,624256,4
115332,624258,5
115332,624261,4
115332,624262,29
115332,624386,1
115332,624512,5
115332,624514,44
115332,624518,30
115332,624519,1
115332,624640,2
115332,625152,7
115332,625280,1
115332,625281,3
115332,625542,9
115332,626176,1
115332,626182,1
115332,626560,14
115332,626562,28
115332,626564,6
115332,626566,12
115332,630662,3
115332,631296,2
115332,631297,2
115332,631298,1
115332,631424,3
115332,631680,7
115332,631682,10
115332,631684,6
115332,632320,20
115332,632322,8
115332,632448,18
115332,632450,3
115332,632452,5
115332,632454,6
115332,632704,10
115332,632706,14
115332,632707,7
115332,632710,11
115332,633344,3
115332,633728,2
115332,634368,14
115332,634370,1
115332,634374,8
115332,634496,6
115332,634498,4
115332,634502,2
115332,634503,3
115332,634752,39
115332,634754,27
115332,634756,3
115332,634758,20
115332,638598,7
115332,638599,5
115332,638848,23
115332,638850,5
115332,638854,27
115332,638870,5
115332,638886,2
115332,638902,2
115332,638976,13
115332,638980,4
115332,639488,5
115332,639490,3
115332,639492,16
115332,639494,7
115332,639616,18
115332,639617,1
115332,639620,28
115332,639621,3
115332,639622,14
115332,639750,1
115332,639872,2
115332,639876,8
115332,639878,3
115332,639888,3
115332,640004,1
115332,640516,3
115332,640518,7
115332,640646,11
115332,640772,2
115332,640774,9
115332,640902,12
115332,641542,7
115332,641668,1
115332,641670,4
115332,641798,3
115332,642566,2
115332,642950,2
115332,643984,5
115332,645638,2
115332,646662,4
115332,647680,9
115332,647682,7
115332,647687,1
115332,647808,8
115332,647812,13
115332,647814,9
115332,647815,19
115332,648064,4
115332,648066,11
115332,648068,3
115332,648070,21
115332,648704,1
115332,648710,6
115332,648836,4
115332,648838,6
115332,648962,6
115332,648966,1
115332,649093,2
115332,649094,2
115332,649095,2
115332,649728,2
115332,649734,23
115332,649735,7
115332,649860,7
115332,649862,30
115332,649863,2
115332,649990,2
115332,650112,9
115332,650118,5
115332,650752,12
115332,650753,7
115332,650754,3
115332,650756,12
115332,650758,15
115332,650884,1
115332,650886,3
115332,651010,2
115332,651014,7
115332,651141,7
115332,651142,7
115332,651174,5
115332,651782,3
115332,651910,1
115332,653562,5
115332,653566,1
115332,653567,3
115332,653830,1
115332,653982,1
115332,654014,4
115332,654074,4
115332,654078,7
115332,654214,2
115332,654215,1
115332,654334,5
115332,654978,2
115332,655234,4
115332,655286,6
115332,689026,1
115332,691203,3
115332,691207,4
115332,691335,3
115332,697218,2
115332,698242,3
115332,705024,2
115332,721920,3
115332,738178,1
115332,738182,1
115332,753666,3
115332,754432,2
115332,754434,2
115332,754688,1
115332,754690,7
115332,755586,1
115332,755590,1
115332,756738,2
115332,756742,1
115332,757634,4
115332,757638,2
115332,762370,2
115332,763394,2
115332,765574,2
115332,765824,9
115332,765826,1
115332,765828,2
115332,765830,3
115332,769574,1
115332,769670,7
115332,769702,2
115332,769920,3
115332,769922,9
115332,769924,7
115332,769926,13
115332,769927,6
115332,769958,12
115332,770048,1
115332,770560,8
115332,770816,1
115332,770944,1
115332,770946,1
115332,771968,3
115332,773638,6
115332,774018,3
115332,774022,1
115332,777734,6
115332,778752,9
115332,778754,2
115332,778887,1
115332,779142,2
115332,779778,6
115332,779910,1
115332,779911,2
115332,780034,1
115332,780166,11
115332,780800,3
115332,780806,2
115332,780928,2
115332,781190,2
115332,781191,4
115332,781830,4
115332,781958,1
115332,782210,1
115332,782214,26
115332,782246,3
115332,785287,1
115332,786310,9
115332,786342,1
115332,820224,4
115332,820738,8
115332,820742,2
115332,821127,4
115332,844294,1
115332,844674,1
115332,853506,3
115332,853507,3
115332,853511,5
115332,862080,5
115332,884736,4
115332,885248,14
115332,885254,7
115332,885636,2
115332,885638,11
115332,885760,1
115332,886272,11
115332,886274,5
115332,886276,1
115332,886278,2
115332,886400,22
115332,886402,5
115332,886406,8
115332,886530,4
115332,886532,1
115332,886534,3
115332,886656,14
115332,886658,6
115332,886660,12
115332,886661,3
115332,886662,16
115332,888704,4
115332,888706,3
115332,892928,3
115332,893440,3
115332,893442,1
115332,893568,2
115332,893574,9
115332,893824,7
115332,893826,1
115332,893830,17
115332,893831,1
115332,894464,20
115332,894466,7
115332,894468,3
115332,894470,6
115332,894592,11
115332,894596,1
115332,894598,5
115332,894848,7
115332,894850,14
115332,894851,6
115332,894854,8
115332,894855,7
115332,896896,17
115332,896898,8
115332,896900,1
115332,896902,5
115332,901120,1
115332,901632,4
115332,901636,8
115332,901760,1
115332,901764,3
115332,901766,6
115332,902016,17
115332,902018,6
115332,902020,4
115332,902022,3
115332,902656,1
115332,902660,2
115332,902784,1
115332,902790,9
115332,902916,1
115332,903040,5
115332,903042,4
115332,903044,11
115332,903045,1
115332,903046,1
115332,905092,1
115332,909312,4
115332,909316,5
115332,909824,26
115332,909826,1
115332,909828,8
115332,909830,5
115332,909952,4
115332,909954,1
115332,910208,14
115332,910210,14
115332,910212,12
115332,910214,18
115332,910848,2
115332,910854,6
115332,910976,16
115332,910978,5
115332,910982,3
115332,911110,4
115332,911232,6
115332,911234,12
115332,911238,12
115332,912256,2
115332,912262,2
115332,912896,3
115332,912898,7
115332,912902,12
115332,913286,13
115332,916994,1
115332,917122,1
115332,918406,1
115332,919303,1
115332,919430,2
115332,919431,6
115332,934790,16
115332,950207,4
115332,950271,3
115332,951174,2
115332,951175,2
115332,951298,5
115332,951299,1
115332,951810,2
115332,952194,16
115332,952195,2
115332,952199,11
115332,953347,2
115332,953479,2
115332,967558,6
115332,975366,5
115332,983556,2
115332,984064,5
115332,984576,3
115332,984583,2
115332,984839,3
115332,1011462,1
115332,1015743,1
115332,1016324,4
115332,1016326,6
115332,1016710,6
115332,1016711,5
115332,1016832,2
115332,1016967,5
115332,1017344,3
115332,1017348,9
115332,1017472,2
115332,1017606,5
115332,1017730,14
115332,1017732,9
115332,1017734,48
115332,1017735,3
115332,1017736,4
115332,1019015,3
115332,1019782,7
115332,1024000,10
115332,1024640,1
115332,1024642,3
115332,1024646,12
115332,1024896,6
115332,1024897,9
115332,1024898,1
115332,1024902,6
115332,1025538,4
115332,1025540,1
115332,1025542,11
115332,1025668,12
115332,1025669,1
115332,1025670,14
115332,1025671,1
115332,1025794,4
115332,1025798,1
115332,1025920,1
115332,1025922,25
115332,1025923,4
115332,1025924,16
115332,1025926,20
115332,1025927,2
115332,1027968,16
115332,1027970,17
115332,1027974,21
115332,1030018,2
115332,1032066,1
115332,1032068,5
115332,1032070,7
115332,1032071,6
115332,1032704,14
115332,1032710,4
115332,1032838,4
115332,1033092,10
115332,1033094,1
115332,1033095,8
115332,1033351,5
115332,1033732,6
115332,1033734,10
115332,1034112,4
115332,1034116,3
115332,1034118,11
115332,1036166,2
115332,1040384,11
115332,1040512,3
115332,1040513,6
115332,1040768,3
115332,1040896,19
115332,1040898,1
115332,1040899,1
115332,1040902,8
115332,1040903,1
115332,1041024,2
115332,1041152,3
115332,1041154,3
115332,1041158,12
115332,1041280,42
115332,1041281,13
115332,1041282,19
115332,1041283,4
115332,1041284,7
115332,1041286,29
115332,1041287,6
115332,1041920,5
115332,1041923,7
115332,1041926,7
115332,1042052,6
115332,1042053,2
115332,1042178,2
115332,1042182,4
115332,1042304,2
115332,1042306,1
115332,1042307,17
115332,1042308,10
115332,1042309,1
115332,1042310,26
115332,1042311,5
115332,1042944,11
115332,1043072,1
115332,1043078,3
115332,1043328,6
115332,1043330,12
115332,1043334,7
115332,1043335,7
115332,1044226,2
115332,1044230,6
115332,1044352,2
115332,1044354,9
115332,1044355,4
115332,1044356,4
115332,1044358,31
115332,1044359,22
115332,1047174,2
115332,1047430,3
115332,1048486,2
115332,1048494,6
115332,1048495,8
115332,1048511,5
378758,34564,2
378758,34688,5
378758,34692,5
378758,66048,2
378758,67072,7
378758,74240,1
378758,75264,2
378758,98816,4
378758,98818,2
378758,98822,3
378758,98944,4
378758,99074,1
378758,99200,19
378758,99202,3
378758,99206,6
378758,99456,14
378758,99840,8
378758,99842,4
378758,99846,10
378758,99968,8
378758,100096,2
378758,100098,9
378758,100100,3
378758,100102,6
378758,100224,28
378758,100226,23
378758,100230,54
378758,101248,6
378758,102022,1
378758,102272,2
378758,102278,11
378758,104320,4
378758,106368,12
378758,106369,1
378758,106370,2
378758,106374,3
378758,107008,3
378758,107392,10
378758,107394,10
378758,108032,10
378758,108034,4
378758,108160,4
378758,108416,32
378758,108420,1
378758,108422,5
378758,109440,3
378758,110464,18
378758,110468,6
378758,110470,1
378758,110471,5
378758,114560,3
378758,114561,7
378758,114562,11
378758,115200,2
378758,115206,1
378758,115328,2
378758,115458,3
378758,115588,6
378758,115590,13
378758,115606,5
378758,116610,2
378758,116614,5
378758,116630,3
378758,117638,2
378758,118279,2
378758,118662,6
378758,123392,8
378758,123398,2
378758,123526,5
378758,123776,6
378758,123778,4
378758,123782,12
378758,124416,15
378758,124420,1
378758,124422,6
378758,124550,3
378758,124807,1
378758,125440,7
378758,125568,2
378758,125824,18
378758,125826,3
378758,126470,17
378758,126471,3
378758,126722,1
378758,126848,2
378758,126854,4
378758,129536,1
378758,130566,3
378758,130818,11
378758,130946,1
378758,230918,1
378758,231046,3
378758,231296,3
378758,231298,10
378758,231302,3
378758,237440,4
378758,237442,5
378758,237472,6
378758,237474,1
378758,241536,1
378758,241538,2
378758,241543,2
378758,254470,3
378758,254854,2
378758,255494,2
378758,256902,4
378758,263942,4
378758,264070,7
378758,271360,2
378758,282374,4
378758,287744,3
378758,315142,2
378758,315268,5
378758,315270,4
378758,328450,1
378758,328454,13
378758,328580,4
378758,328704,1
378758,328960,2
378758,329216,4
378758,329472,2
378758,329478,24
378758,329602,3
378758,329604,7
378758,329606,29
378758,336896,2
378758,344838,4
378758,344960,3
378758,344964,4
378758,345088,5
378758,345600,4
378758,345988,4
378758,345990,7
378758,347910,9
378758,348038,2
378758,360448,2
378758,360450,3
378758,360452,1
378758,360838,1
378758,360960,2
378758,360962,3
378758,360966,3
378758,361088,6
378758,361218,8
378758,361222,33
378758,361344,23
378758,361346,9
378758,361348,3
378758,361350,30
378758,361351,4
378758,361472,21
378758,361474,9
378758,361476,3
378758,361602,4
378758,361603,1
378758,361728,1
378758,361862,2
378758,361863,2
378758,361879,4
378758,361887,1
378758,361984,20
378758,361986,23
378758,361988,5
378758,361990,118
378758,362116,6
378758,362118,15
378758,362240,29
378758,362242,35
378758,362244,21
378758,362246,124
378758,362248,6
378758,362250,6
378758,362368,89
378758,362370,33
378758,362372,122
378758,362373,1
378758,362374,637
378758,362375,61
378758,362378,4
378758,362382,7
378758,362391,3
378758,362392,2
378758,362394,2
378758,362396,2
378758,362398,9
378758,362399,2
378758,363396,6
378758,364034,1
378758,364166,6
378758,364292,2
378758,364294,3
378758,364416,6
378758,364420,19
378758,364422,68
378758,364423,11
378758,364430,5
378758,364446,7
378758,368516,4
378758,368518,1
378758,368519,7
378758,369152,4
378758,369408,1
378758,369410,2
378758,369414,4
378758,369538,17
378758,369540,5
378758,369542,17
378758,370176,2
378758,370182,7
378758,370310,4
378758,370438,2
378758,370560,31
378758,370562,14
378758,370564,21
378758,370566,111
378758,370567,7
378758,371588,3
378758,372358,2
378758,372480,1
378758,372486,2
378758,372608,3
378758,372612,3
378758,372614,25
378758,372615,10
378758,375558,3
378758,376708,1
378758,376710,2
378758,377222,1
378758,377346,10
378758,377350,5
378758,377472,2
378758,377600,2
378758,377602,24
378758,377606,41
378758,377728,20
378758,377730,5
378758,377732,17
378758,377734,141
378758,377862,6
378758,377986,1
378758,377990,5
378758,378368,4
378758,378372,11
378758,378374,24
378758,378502,9
378758,378624,3
378758,378626,11
378758,378628,12
378758,378630,71
378758,378752,14
378758,378754,28
378758,378756,71
378758,378758,675
378758,378759,4
378758,378766,7
378758,378774,2
378758,379780,9
378758,379782,9
378758,380420,4
378758,380422,3
378758,380550,5
378758,380804,6
378758,380806,66
378758,385536,27
378758,385538,3
378758,385542,1
378758,385664,4
378758,385668,5
378758,385670,9
378758,385792,12
378758,385794,3
378758,385798,16
378758,385920,16
378758,385924,27
378758,385926,59
378758,385934,2
378758,386560,2
378758,386562,4
378758,386566,20
378758,386688,3
378758,386693,1
378758,386694,14
378758,386822,13
378758,386944,7
378758,386946,5
378758,386948,18
378758,386950,161
378758,386951,15
378758,386958,6
378758,387968,1
378758,387972,2
378758,387974,13
378758,388614,7
378758,388996,9
378758,388998,92
378758,388999,6
378758,389006,1
378758,389894,2
378758,390022,22
378758,391046,1
378758,391684,4
378758,391686,2
378758,391940,4
378758,391942,1
378758,392962,2
378758,393094,8
378758,395014,9
378758,395136,4
378758,436101,1
378758,452485,1
378758,459522,6
378758,459526,6
378758,460550,10
378758,460672,7
378758,460674,1
378758,460676,6
378758,468866,1
378758,468870,6
378758,475014,3
378758,475910,2
378758,476032,9
378758,476038,1
378758,477056,2
378758,484230,18
378758,485254,10
378758,491398,6
378758,491520,3
378758,491910,1
378758,492032,2
378758,492288,5
378758,492290,11
378758,492416,5
378758,492418,12
378758,492420,2
378758,492422,4
378758,492423,1
378758,492428,1
378758,493056,3
378758,493058,3
378758,493060,9
378758,493062,12
378758,493312,4
378758,493318,18
378758,493440,9
378758,493442,10
378758,493444,4
378758,493446,93
378758,493447,16
378758,493448,1
378758,493460,3
378758,493462,1
378758,493468,5
378758,495494,32
378758,495495,12
378758,495510,3
378758,497543,4
378758,499458,2
378758,499462,6
378758,499586,7
378758,499590,3
378758,499591,21
378758,500224,2
378758,500480,2
378758,500482,6
378758,500608,8
378758,500609,2
378758,500610,8
378758,500613,1
378758,500614,16
378758,500615,18
378758,500620,1
378758,501248,2
378758,501252,7
378758,501254,5
378758,501380,2
378758,501381,2
378758,501510,6
378758,501632,5
378758,501633,2
378758,501634,35
378758,501635,3
378758,501636,8
378758,501637,4
378758,501638,86
378758,501639,20
378758,501644,5
378758,501646,6
378758,503558,2
378758,503559,20
378758,503680,3
378758,503682,1
378758,503684,3
378758,503686,52
378758,503687,18
378758,503694,3
378758,506630,3
378758,507776,1
378758,507782,25
378758,507783,3
378758,508294,2
378758,508420,4
378758,508422,5
378758,508678,2
378758,508800,16
378758,508801,5
378758,508802,3
378758,508804,5
378758,508806,34
378758,508807,1
378758,509446,14
378758,509698,4
378758,509702,2
378758,509824,3
378758,509826,7
378758,509827,1
378758,509828,10
378758,509830,101
378758,509831,4
378758,509832,8
378758,509846,13
378758,511746,3
378758,511750,6
378758,511872,1
378758,511878,17
378758,511894,1
378758,512896,12
378758,513920,1
378758,513928,1
378758,514944,2
378758,515846,6
378758,515968,1
378758,515974,16
378758,516224,6
378758,516608,1
378758,516614,8
378758,516736,3
378758,516740,8
378758,516741,2
378758,516742,4
378758,516864,3
378758,516870,8
378758,516993,15
378758,516994,19
378758,516996,6
378758,516998,119
378758,516999,42
378758,517002,3
378758,517006,5
378758,517638,8
378758,517765,4
378758,517766,6
378758,517894,18
378758,518016,6
378758,518018,11
378758,518019,1
378758,518020,13
