config_from,config_to,t_to,sample_to
262144,0,10,0
524289,0,10,0
262144,64,10,0
32768,512,10,0
1032119,15871,10,0
311808,16384,10,0
262144,16384,10,0
0,16384,10,0
0,16384,10,0
262144,16384,10,0
0,16384,10,0
524289,16497,10,0
0,16504,10,0
0,22648,10,0
32768,32832,10,0
115332,33280,10,0
1016322,33282,10,0
362112,34304,10,0
632320,34304,10,0
650754,34304,10,0
913282,44934,10,0
262144,49664,10,0
376832,49664,10,0
260992,49664,10,0
0,65536,10,0
524289,65536,10,0
360960,66048,10,0
361472,77696,10,0
450567,81920,10,0
0,81920,10,0
99840,83456,10,0
32768,92224,10,0
491520,98304,10,0
524289,98304,10,0
558594,98304,10,0
886272,98304,10,0
0,98304,10,0
0,98304,10,0
0,98304,10,0
369280,98816,10,1
377350,98816,10,1
361984,98816,10,1
377600,98816,10,1
491520,98816,10,1
385536,98816,10,1
100226,98816,10,1
117248,98816,10,1
377600,98816,10,1
369280,98816,10,1
654848,98816,10,1
99840,98816,10,1
360960,98816,10,1
0,98816,10,1
377348,98816,10,1
385920,98816,10,1
99840,98816,10,1
638848,98816,10,1
524289,98816,10,1
377348,98816,10,1
117248,98816,10,1
1040896,98816,10,1
126464,98816,10,1
361472,98816,10,1
262144,98816,10,1
638470,98816,10,1
311808,98816,10,1
524289,98816,10,1
558594,98816,10,1
100225,98818,10,1
311808,98818,10,1
377350,98822,10,1
361344,98944,10,1
361472,98944,10,1
516608,98944,10,1
500224,98944,10,1
361984,98944,10,1
362370,98944,10,1
311808,98944,10,1
123399,98944,10,1
361344,98944,10,1
763522,99072,10,2
376832,99072,10,2
109440,99072,10,2
516998,99074,10,2
361346,99200,10,2
361346,99200,10,2
32768,99200,10,2
32768,99200,10,2
763522,99200,10,2
886274,99200,10,2
125826,99200,10,2
362368,99200,10,2
362368,99200,10,2
361344,99200,10,2
516997,99200,10,2
114560,99200,10,2
362370,99200,10,2
377348,99200,10,2
632448,99200,10,2
508800,99200,10,2
631680,99200,10,2
125826,99200,10,2
652162,99200,10,2
377600,99200,10,2
508800,99200,10,2
1041024,99200,10,2
376832,99200,10,2
260992,99200,10,2
638850,99200,10,2
885632,99200,10,2
100225,99200,10,2
886658,99200,10,2
1042304,99202,10,2
76672,99202,10,2
377600,99204,10,2
262144,99328,10,0
558594,99328,10,0
1016322,99328,10,0
377600,99328,10,0
311808,99328,10,0
360960,99328,10,0
376832,99328,10,0
754560,99840,10,1
524289,99840,10,1
886272,99840,10,1
886272,99840,10,1
632448,99840,10,1
32768,99840,10,1
632448,99840,10,1
517126,99840,10,1
362112,99840,10,1
0,99840,10,1
362112,99840,10,1
362112,99840,10,1
100224,99840,10,1
632320,99840,10,1
377600,99840,10,1
634496,99840,10,1
632322,99840,10,1
32768,99840,10,1
32768,99840,10,1
361472,99840,10,1
558594,99840,10,1
558594,99840,10,1
32768,99840,10,1
126464,99840,10,1
558594,99840,10,1
126464,99840,10,1
376832,99840,10,1
886274,99840,10,1
500224,99840,10,1
126592,99840,10,1
329222,99840,10,1
385536,99840,10,1
634496,99840,10,1
632322,99840,10,1
885632,99840,10,1
385536,99840,10,1
508800,99840,10,1
632320,99840,10,1
99840,99840,10,1
491520,99840,10,1
491520,99840,10,1
633472,99840,10,1
361344,99840,10,1
491520,99840,10,1
491520,99840,10,1
377350,99840,10,1
99840,99840,10,1
1016832,99840,10,1
115332,99840,10,1
508422,99840,10,1
99840,99840,10,1
1016833,99840,10,1
369280,99840,10,1
360960,99840,10,1
361984,99840,10,1
632320,99840,10,1
118534,99840,10,1
1041922,99840,10,1
118534,99840,10,1
763522,99840,10,1
765442,99840,10,1
369280,99840,10,1
361984,99840,10,1
115332,99842,10,1
1016832,99842,10,1
362112,99842,10,1
99840,99842,10,1
99840,99842,10,1
126464,99842,10,1
117248,99842,10,1
376838,99842,10,1
894598,99842,10,1
558594,99842,10,1
1016322,99842,10,1
100225,99842,10,1
558594,99842,10,1
501377,99842,10,1
508422,99842,10,1
311808,99842,10,1
558594,99844,10,1
886272,99844,10,1
392710,99846,10,1
347910,99846,10,1
517126,99846,10,1
632322,99856,10,0
100224,99968,10,1
99840,99968,10,1
360960,99968,10,1
362242,99968,10,1
361346,99968,10,1
650752,99968,10,1
902020,99968,10,1
634496,99968,10,1
524289,99968,10,1
100225,100096,10,2
362370,100096,10,2
108416,100096,10,2
493446,100098,10,2
362374,100098,10,2
763522,100098,10,2
894854,100098,10,2
501506,100098,10,2
885632,100098,10,2
886274,100098,10,2
329222,100102,10,2
362368,100224,10,2
76672,100224,10,2
109440,100224,10,2
109440,100224,10,2
648838,100224,10,2
1042305,100224,10,2
654848,100224,10,2
117248,100224,10,2
117248,100224,10,2
126592,100224,10,2
362368,100224,10,2
372610,100224,10,2
99840,100224,10,2
910982,100224,10,2
239488,100224,10,2
1025920,100224,10,2
108416,100224,10,2
108416,100224,10,2
886658,100224,10,2
754560,100224,10,2
99840,100224,10,2
754560,100224,10,2
99840,100224,10,2
501377,100224,10,2
894855,100224,10,2
377600,100224,10,2
633728,100224,10,2
377600,100224,10,2
633728,100224,10,2
362374,100224,10,2
886663,100224,10,2
385920,100224,10,2
632448,100224,10,2
634752,100224,10,2
501506,100224,10,2
652162,100224,10,2
100224,100224,10,2
491520,100224,10,2
361344,100224,10,2
370564,100224,10,2
32768,100224,10,2
508800,100224,10,2
508800,100224,10,2
632706,100224,10,2
114560,100224,10,2
362242,100224,10,2
100225,100224,10,2
115332,100224,10,2
369280,100224,10,2
126464,100224,10,2
516995,100224,10,2
516995,100224,10,2
115332,100224,10,2
508800,100224,10,2
388998,100224,10,2
100224,100224,10,2
76672,100224,10,2
1033090,100224,10,2
364420,100224,10,2
114560,100224,10,2
100225,100224,10,2
369280,100224,10,2
648070,100224,10,2
376832,100224,10,2
