config_from,config_to,t_to,sample_to
100225,100224,10,2
508800,100224,10,2
885632,100224,10,2
388998,100226,10,2
631680,100226,10,2
636806,100226,10,2
372610,100226,10,2
76672,100226,10,2
378758,100226,10,2
885632,100226,10,2
763782,100226,10,2
110470,100226,10,2
885632,100226,10,2
632320,100226,10,2
508422,100226,10,2
484230,100226,10,2
362382,100226,10,2
114560,100226,10,2
100224,100226,10,2
1017478,100226,10,2
378758,100226,10,2
633728,100226,10,2
632710,100226,10,2
361984,100226,10,2
126592,100226,10,2
76672,100226,10,2
362382,100226,10,2
100224,100226,10,2
1044358,100226,10,2
634496,100226,10,2
109440,100226,10,2
361472,100226,10,2
633728,100226,10,2
362242,100228,10,2
362368,100228,10,2
115332,100228,10,2
516865,100228,10,2
633728,100228,10,2
493442,100230,10,2
100226,100230,10,2
126854,100230,10,2
1027719,100230,10,2
633472,100230,10,2
376832,100230,10,2
362370,100230,10,2
118534,100230,10,2
787334,100230,10,2
765442,100230,10,2
516995,100230,10,2
1017734,100230,10,2
1027970,100230,10,2
902020,100230,10,2
902020,100230,10,2
100230,100230,10,2
638854,100230,10,2
648838,100230,10,2
1044355,100230,10,2
436102,100230,10,2
1017478,100230,10,2
362242,100230,10,2
1017478,100230,10,2
362242,100230,10,2
648070,100230,10,2
508678,100230,10,2
894598,100230,10,2
508678,100230,10,2
1017735,100230,10,2
100226,100230,10,2
362374,100230,10,2
894854,100230,10,2
392710,100230,10,2
109440,100230,10,2
123399,100230,10,2
100226,100230,10,2
911238,100230,10,2
558594,100230,10,2
378758,100230,10,2
361472,100230,10,2
115332,100230,10,2
110470,100230,10,2
1041024,100230,10,2
634502,100230,10,2
1031046,100230,10,2
520070,100230,10,2
886660,100230,10,2
362382,100230,10,2
493442,100230,10,2
634758,100230,10,2
503558,100230,10,2
361984,100230,10,2
501506,100230,10,2
910982,100230,10,2
632448,100864,10,1
650754,101888,10,1
650754,101888,10,1
360960,101888,10,1
634496,101888,10,1
638470,101890,10,1
362368,102016,10,1
32768,102018,10,1
126464,102146,10,2
648838,102272,10,2
503682,102272,10,2
631680,102272,10,2
634502,102272,10,2
886272,102272,10,2
632320,102272,10,2
501377,102272,10,2
362376,102272,10,2
239488,102272,10,2
634754,102272,10,2
361346,102272,10,2
125826,102272,10,2
362374,102272,10,2
100225,102274,10,2
515974,102278,10,2
636806,102278,10,2
1017732,102278,10,2
362246,102278,10,2
886662,102278,10,2
757638,102278,10,2
126592,102278,10,2
650752,102278,10,2
763522,102278,10,2
362376,102278,10,2
638470,102278,10,2
76672,102278,10,2
632706,102278,10,2
1024903,102278,10,2
362382,102278,10,2
885632,102278,10,2
507778,102278,10,2
126854,102278,10,2
1032110,102278,10,2
117248,103936,10,1
1040896,103938,10,1
362112,104320,10,1
650759,105990,10,1
110470,106370,10,1
1032110,106372,10,1
110470,106374,10,1
376838,106374,10,1
1044358,106374,10,1
634374,106374,10,1
372614,106374,10,1
626566,106374,10,1
650754,106374,10,1
636806,106374,10,1
634498,106374,10,1
633472,106374,10,1
638850,106374,10,1
1040902,106496,10,0
1016833,106496,10,0
262144,106496,10,0
99840,107008,10,1
558594,107008,10,1
99840,107008,10,1
1011200,107008,10,1
1041024,107008,10,1
654848,107010,10,1
500224,107392,10,2
109440,107392,10,2
632448,107392,10,2
1040896,107392,10,2
631680,107392,10,2
100224,107392,10,2
885632,107392,10,2
1017734,107392,10,2
1025920,107392,10,2
362246,107394,10,2
100224,108032,10,1
109440,108032,10,1
361472,108032,10,1
376832,108032,10,1
650752,108032,10,1
524289,108032,10,1
500224,108032,10,1
558594,108032,10,1
126854,108032,10,1
126592,108032,10,1
1041922,108032,10,1
654848,108032,10,1
650754,108032,10,1
377600,108032,10,1
1031685,108032,10,1
385536,108032,10,1
631680,108032,10,1
110470,108032,10,1
654848,108032,10,1
1040896,108034,10,1
632322,108034,10,1
361984,108034,10,1
361984,108034,10,1
1016833,108034,10,1
650754,108034,10,1
632448,108160,10,1
632322,108160,10,1
1011200,108160,10,1
1017732,108160,10,1
109440,108160,10,1
122758,108160,10,1
122758,108294,10,2
886663,108294,10,2
362376,108416,10,2
100224,108416,10,2
115332,108416,10,2
633472,108416,10,2
385920,108416,10,2
362368,108416,10,2
369280,108416,10,2
360960,108416,10,2
633472,108416,10,2
370564,108416,10,2
1044359,108416,10,2
100230,108416,10,2
362246,108416,10,2
114560,108416,10,2
894598,108416,10,2
632710,108416,10,2
260992,108416,10,2
122758,108416,10,2
632320,108416,10,2
377600,108416,10,2
633728,108416,10,2
633728,108416,10,2
516865,108416,10,2
633728,108416,10,2
894855,108416,10,2
631680,108416,10,2
638850,108416,10,2
886272,108416,10,2
1040896,108416,10,2
632448,108416,10,2
1025665,108416,10,2
632448,108416,10,2
896898,108416,10,2
765575,108416,10,2
632706,108416,10,2
654848,108416,10,2
516995,108418,10,2
638848,108418,10,2
1042306,108418,10,2
913286,108418,10,2
633728,108418,10,2
774016,108418,10,2
1027968,108418,10,2
769926,108418,10,2
1041280,108418,10,2
122758,108418,10,2
109440,108418,10,2
100224,108418,10,2
114560,108418,10,2
524175,108422,10,2
503558,108422,10,2
886658,108422,10,2
634754,108422,10,2
896903,108422,10,2
100230,108422,10,2
655238,108422,10,2
1017732,108422,10,2
515974,108422,10,2
886660,108422,10,2
369543,108422,10,2
787334,108422,10,2
651170,108422,10,2
100226,108422,10,2
364420,108422,10,2
32768,109056,10,1
126464,109440,10,2
520070,109440,10,2
377600,109440,10,2
634496,109441,10,2
100226,109442,10,2
110464,109442,10,2
110464,109446,10,2
765442,110080,10,1
558594,110080,10,1
632448,110080,10,1
362376,110080,10,1
1042304,110080,10,1
558594,110080,10,1
654848,110080,10,1
126592,110080,10,1
1044354,110080,10,1
1031685,110080,10,1
1025795,110080,10,1
632322,110080,10,1
114560,110080,10,1
311808,110080,10,1
1041920,110080,10,1
638470,110080,10,1
654848,110080,10,1
650754,110080,10,1
650754,110080,10,1
634370,110082,10,1
638470,110082,10,1
1025538,110082,10,1
1011200,110082,10,1
638470,110082,10,1
126464,110082,10,1
362370,110082,10,1
632320,110082,10,1
634370,110083,10,1
654848,110086,10,1
125826,110086,10,1
634374,110086,10,1
126464,110086,10,1
765442,110208,10,1
896898,110208,10,1
633728,110208,10,1
754560,110208,10,1
633728,110208,10,1
501377,110208,10,1
126464,110210,10,1
632322,110210,10,1
634370,110210,10,1
651170,110214,10,1
786306,110214,10,1
654262,110214,10,1
369280,110336,10,2
361344,110464,10,2
765442,110464,10,2
362242,110464,10,2
774016,110464,10,2
110470,110464,10,2
769926,110464,10,2
633728,110464,10,2
631680,110464,10,2
501634,110464,10,2
886658,110464,10,2
886662,110464,10,2
638848,110464,10,2
634374,110464,10,2
100226,110464,10,2
369280,110464,10,2
651142,110464,10,2
110464,110464,10,2
1044353,110464,10,2
632448,110464,10,2
634754,110464,10,2
651142,110464,10,2
76672,110464,10,2
634752,110464,10,2
76672,110464,10,2
1025920,110464,10,2
634758,110464,10,2
76672,110464,10,2
634752,110464,10,2
109440,110464,10,2
650752,110464,10,2
626566,110464,10,2
1042306,110464,10,2
109440,110464,10,2
126464,110464,10,2
362112,110464,10,2
633472,110464,10,2
377348,110464,10,2
763522,110464,10,2
1011200,110464,10,2
633472,110464,10,2
638850,110464,10,2
260992,110464,10,2
634752,110464,10,2
126464,110464,10,2
260992,110464,10,2
361346,110464,10,2
633472,110464,10,2
114560,110464,10,2
654262,110466,10,2
126592,110466,10,2
769926,110466,10,2
634374,110466,10,2
362376,110466,10,2
634752,110466,10,2
633728,110466,10,2
765575,110466,10,2
632320,110466,10,2
1031815,110466,10,2
913282,110466,10,2
1025926,110466,10,2
638886,110466,10,2
123399,110466,10,2
651142,110466,10,2
633472,110466,10,2
372610,110466,10,2
493442,110466,10,2
76672,110466,10,2
361984,110466,10,2
100226,110466,10,2
1032070,110466,10,2
634498,110466,10,2
634496,110466,10,2
114560,110466,10,2
117248,110466,10,2
126592,110466,10,2
126592,110466,10,2
631680,110466,10,2
126592,110466,10,2
634752,110466,10,2
362242,110466,10,2
769926,110466,10,2
886658,110466,10,2
100224,110466,10,2
377600,110466,10,2
1044097,110466,10,2
632448,110466,10,2
1031046,110466,10,2
1032068,110467,10,2
1027975,110468,10,2
648838,110468,10,2
636806,110468,10,2
114560,110468,10,2
634498,110470,10,2
634752,110470,10,2
503682,110470,10,2
634758,110470,10,2
1032102,110470,10,2
110470,110470,10,2
634752,110470,10,2
654262,110470,10,2
634754,110470,10,2
648070,110470,10,2
654262,110470,10,2
638854,110470,10,2
886662,110470,10,2
634754,110470,10,2
634758,110470,10,2
654262,110470,10,2
636806,110470,10,2
769958,110470,10,2
886662,110470,10,2
757638,110470,10,2
632320,110470,10,2
114566,110470,10,2
1048454,110470,10,2
503686,110470,10,2
1032066,110470,10,2
114560,110470,10,2
650752,110470,10,2
651170,110470,10,2
508678,110470,10,2
503686,110470,10,2
370564,110470,10,2
114560,110470,10,2
114560,110470,10,2
632320,110470,10,2
633472,110470,10,2
388999,110470,10,2
109440,110470,10,2
260992,110470,10,2
115332,110470,10,2
634502,110470,10,2
114560,110470,10,2
632710,110470,10,2
1044230,110470,10,2
634502,110470,10,2
651142,110470,10,2
651142,110470,10,2
1044356,110470,10,2
913282,110470,10,2
634370,110470,10,2
634370,110470,10,2
650759,110470,10,2
650759,110470,10,2
501506,110470,10,2
110464,110470,10,2
769926,110470,10,2
638848,110470,10,2
507654,110470,10,2
650759,110470,10,2
503558,110470,10,2
110470,110470,10,2
1027975,110470,10,2
118534,110470,10,2
765831,110470,10,2
126592,110470,10,2
650759,110470,10,2
769958,110470,10,2
122758,110470,10,2
370630,110470,10,2
886658,110470,10,2
632320,110470,10,2
886658,110470,10,2
655238,110470,10,2
122758,110470,10,2
122758,110470,10,2
109440,110470,10,2
655238,110470,10,2
347910,110470,10,2
886658,110470,10,2
634374,110470,10,2
769959,110470,10,2
392710,110470,10,2
769959,110470,10,2
786306,110470,10,2
392710,110470,10,2
76672,110470,10,2
769975,110470,10,2
76672,110470,10,2
636806,110470,10,2
765442,110470,10,2
372610,110470,10,2
372610,110470,10,2
634498,110470,10,2
110470,110470,10,2
636806,110470,10,2
786306,110470,10,2
1027968,110470,10,2
122758,110470,10,2
632706,110470,10,2
634374,110470,10,2
634498,110470,10,2
388998,110470,10,2
484230,110470,10,2
125826,110470,10,2
1032102,110470,10,2
651170,110470,10,2
493447,110470,10,2
516998,110470,10,2
122758,110470,10,2
1032066,110470,10,2
493447,110470,10,2
894854,110470,10,2
757638,110471,10,2
108416,110472,10,0
885632,112518,10,1
631680,113536,10,1
650759,114178,10,1
634370,114182,10,1
654848,114306,10,1
260992,114434,10,1
114560,114434,10,1
626566,114438,10,1
520070,114438,10,1
634754,114560,10,1
239488,114560,10,1
650752,114560,10,1
638854,114560,10,1
109440,114560,10,1
385536,114560,10,1
638848,114560,10,1
634752,114560,10,1
633472,114560,10,1
122758,114560,10,1
125826,114560,10,1
633472,114562,10,1
634754,114562,10,1
651142,114564,10,1
651170,114566,10,1
769975,114566,10,1
122758,114566,10,1
388999,114566,10,1
524167,114566,10,1
114566,114566,10,1
634754,114566,10,1
626566,114566,10,1
910982,114566,10,1
114566,114566,10,1
372614,114566,10,1
1036215,114566,10,1
239488,114566,10,1
1031046,114566,10,1
503682,114566,10,1
633472,114566,10,1
125826,114566,10,1
654262,114566,10,1
1036215,114566,10,1
122758,114566,10,1
655238,114566,10,1
765575,114566,10,1
763522,114566,10,1
654262,114566,10,1
634498,114566,10,1
636806,114566,10,1
503558,114566,10,1
125826,114566,10,1
648838,114566,10,1
786306,114566,10,1
638470,114566,10,1
122758,114566,10,1
632706,114566,10,1
654262,114566,10,1
524165,114566,10,1
126854,114566,10,1
769958,114566,10,1
1032066,114566,10,1
634374,114566,10,1
632710,114566,10,1
769943,114566,10,1
638886,114566,10,1
633728,114566,10,1
1032110,114566,10,1
1025926,114566,10,1
655238,114567,10,1
114560,114567,10,1
376832,114688,10,0
311808,114688,10,0
117248,114688,10,0
262144,114688,10,0
385536,114688,10,0
99840,114688,10,0
377600,114688,10,0
0,114688,10,0
377600,114688,10,0
115332,114688,10,0
491520,115200,10,1
491520,115200,10,1
262144,115200,10,1
376832,115200,10,1
362242,115200,10,1
1016833,115200,10,1
117248,115200,10,1
125826,115200,10,1
126592,115200,10,1
1041288,115200,10,1
115332,115200,10,1
377348,115200,10,1
117248,115200,10,1
99840,115200,10,1
376832,115200,10,1
910982,115200,10,1
1016322,115200,10,1
1016322,115200,10,1
377348,115200,10,1
32768,115200,10,1
126592,115200,10,1
360960,115200,10,1
0,115200,10,1
347910,115200,10,1
516608,115200,10,1
1041920,115200,10,1
260992,115200,10,1
311808,115200,10,1
886272,115200,10,1
634370,115200,10,1
516608,115200,10,1
392710,115200,10,1
517632,115200,10,1
1040896,115200,10,1
360960,115200,10,1
361984,115200,10,1
516865,115200,10,1
516608,115200,10,1
385536,115200,10,1
369280,115200,10,1
516608,115200,10,1
633472,115200,10,1
126464,115200,10,1
115332,115200,10,1
311808,115200,10,1
524289,115200,10,1
632448,115200,10,1
123399,115202,10,1
99840,115202,10,1
385536,115202,10,1
123399,115202,10,1
377348,115202,10,1
491520,115205,10,1
117248,115328,10,1
99840,115328,10,1
650754,115328,10,1
376832,115328,10,1
385920,115456,10,2
361472,115456,10,2
516865,115584,10,2
376838,115584,10,2
76672,115584,10,2
361344,115584,10,2
632706,115584,10,2
376838,115590,10,2
388999,115590,10,2
376838,115714,10,0
378758,115718,10,0
392710,116224,10,1
311808,116224,10,1
517638,116224,10,1
361984,116224,10,1
0,116224,10,1
1025924,116224,10,1
524289,116224,10,1
361472,116224,10,1
360960,116224,10,1
377350,116230,10,1
558594,116608,10,2
633728,116608,10,2
1042304,116608,10,2
100226,116608,10,2
362370,116614,10,2
508678,116614,10,2
886274,118272,10,1
126592,118272,10,1
633728,118662,10,2
761734,118662,10,2
634496,122758,10,1
377600,122880,10,0
501377,123392,10,1
115332,123392,10,1
1040902,123392,10,1
508422,123392,10,1
115332,123392,10,1
115332,123392,10,1
115332,123392,10,1
886274,123392,10,1
123399,123392,10,1
491520,123392,10,1
361472,123392,10,1
360960,123392,10,1
369280,123392,10,1
500224,123392,10,1
632322,123392,10,1
517632,123392,10,1
311808,123392,10,1
385536,123392,10,1
32768,123392,10,1
115332,123392,10,1
376832,123392,10,1
32768,123392,10,1
311808,123392,10,1
377348,123392,10,1
126464,123392,10,1
652162,123392,10,1
886272,123392,10,1
491520,123392,10,1
632448,123392,10,1
361472,123392,10,1
491520,123392,10,1
491520,123392,10,1
377600,123392,10,1
100225,123392,10,1
126592,123392,10,1
377350,123392,10,1
1041922,123392,10,1
0,123392,10,1
115332,123392,10,1
385536,123392,10,1
517126,123392,10,1
517126,123392,10,1
385536,123392,10,1
632320,123392,10,1
369280,123394,10,1
1040902,123394,10,1
385536,123394,10,1
1040896,123520,10,1
500224,123520,10,1
372614,123520,10,1
516997,123520,10,1
632448,123520,10,1
632320,123520,10,1
311808,123520,10,1
648070,123526,10,1
491520,123648,10,2
508800,123776,10,2
508800,123776,10,2
520065,123776,10,2
516865,123776,10,2
520065,123776,10,2
123399,123776,10,2
260992,123776,10,2
385926,123776,10,2
633472,123776,10,2
126592,123776,10,2
122758,123780,10,2
125826,123782,10,2
652162,123782,10,2
361350,123788,10,0
765442,124416,10,1
99840,124416,10,1
385536,124416,10,1
362112,124416,10,1
632322,124416,10,1
362242,124416,10,1
516608,124416,10,1
362242,124418,10,1
1041920,124418,10,1
638470,124422,10,1
634370,124800,10,2
633472,124800,10,2
100225,124800,10,2
385926,124802,10,2
650759,124806,10,2
501506,124806,10,2
361344,125440,10,1
634370,125440,10,1
517632,125440,10,1
123399,125440,10,1
1040896,125440,10,1
117248,125440,10,1
385920,125440,10,1
99840,125440,10,1
650754,125440,10,1
654848,125440,10,1
126464,125440,10,1
650752,125442,10,1
117248,125442,10,1
654848,125442,10,1
650754,125446,10,1
260992,125568,10,1
633472,125568,10,1
517632,125696,10,2
516865,125824,10,2
1041024,125824,10,2
885632,125824,10,2
651170,125824,10,2
1041288,125824,10,2
260992,125824,10,2
369280,125826,10,2
655286,125830,10,2
1041288,126464,10,1
1011200,126464,10,1
126464,126464,10,1
774016,126464,10,1
517638,126464,10,1
650759,126464,10,1
654848,126464,10,1
385536,126464,10,1
117248,126464,10,1
910854,126464,10,1
650759,126464,10,1
117248,126464,10,1
632448,126466,10,1
126464,126466,10,1
638470,126466,10,1
1040902,126468,10,1
654848,126468,10,1
1040896,126470,10,1
634370,126470,10,1
392710,126470,10,1
650754,126470,10,1
392710,126470,10,1
126464,126528,10,0
1033090,126594,10,1
634498,126598,10,1
515974,126599,10,1
501506,126726,10,2
654848,126726,10,2
110464,126848,10,2
126464,126848,10,2
260992,126848,10,2
654848,126848,10,2
638848,126850,10,2
260992,126850,10,2
786306,126850,10,2
126464,126850,10,2
632448,126852,10,2
652162,126852,10,2
125826,126854,10,2
654262,126854,10,2
239488,126854,10,2
501634,126854,10,2
626566,126854,10,2
76672,126854,10,2
114566,126854,10,2
524167,126854,10,2
886662,126854,10,2
787334,126854,10,2
519686,126854,10,2
1027974,126854,10,2
499462,126854,10,2
638850,126854,10,2
648070,126854,10,2
1017606,126854,10,2
126854,126854,10,2
638854,126854,10,2
913282,126854,10,2
651170,126854,10,2
118534,126854,10,2
372610,126854,10,2
650759,126854,10,2
1025920,126854,10,2
654848,126854,10,2
1032071,126854,10,2
369543,126854,10,2
110470,126855,10,2
654848,127488,10,1
110470,129926,10,1
634370,130566,10,1
650759,130566,10,1
634370,130944,10,1
125826,130944,10,1
114566,130944,10,1
1042305,130944,10,1
372614,130948,10,1
654262,130950,10,1
1031815,130950,10,1
260992,130950,10,1
634498,130950,10,1
1032066,130950,10,1
634374,130950,10,1
634752,130950,10,1
118534,130950,10,1
910982,130950,10,1
655238,130950,10,1
100224,130950,10,1
655286,130950,10,1
125826,130950,10,1
100226,130950,10,1
654262,130950,10,1
765830,130951,10,1
117248,230400,10,0
377348,230912,10,1
100230,231174,10,2
108416,231296,10,2
100230,231302,10,2
493442,231303,10,2
362242,238470,10,2
1042305,239488,10,2
108416,239488,10,2
769922,240514,10,2
634374,241154,10,1
362376,241536,10,2
634496,241536,10,2
765575,241538,10,2
114560,241538,10,2
1048454,241538,10,2
1044354,241538,10,2
1027719,241542,10,2
761734,241542,10,2
76672,241542,10,2
651170,241542,10,2
782214,241542,10,2
372610,241542,10,2
524175,241542,10,2
1027969,241542,10,2
626566,241542,10,2
651142,241542,10,2
634498,241542,10,2
126592,245633,10,1
114566,245634,10,1
896898,245634,10,1
260992,245634,10,1
110470,245634,10,1
651142,245638,10,1
1027974,245638,10,1
1043334,245638,10,1
1044230,245638,10,1
886658,245638,10,1
692102,245638,10,1
638470,245638,10,1
634370,245638,10,1
503686,245638,10,1
976775,245638,10,1
634496,245638,10,1
503682,245638,10,1
782214,245638,10,1
654262,245638,10,1
769975,245639,10,1
1032071,245639,10,1
654848,247296,10,1
517638,254464,10,1
1043334,254466,10,1
376832,254848,10,2
369543,254854,10,2
76672,256896,10,2
517632,257536,10,1
1044097,257538,10,1
634370,257664,10,1
655238,257926,10,2
1044358,257926,10,2
626566,257926,10,2
100230,257926,10,2
651170,257926,10,2
761734,257926,10,2
260992,262016,10,1
511879,262022,10,1
1048454,262022,10,1
503686,262022,10,1
122758,262022,10,1
1027719,262022,10,1
123399,262022,10,1
519815,262022,10,1
786306,262022,10,1
655286,262022,10,1
1036215,262023,10,1
484230,262023,10,1
1032102,262054,10,1
524289,262144,10,0
376832,262144,10,0
524289,262144,10,0
524289,262144,10,0
0,262144,10,0
0,262144,10,0
262144,262144,10,0
524289,262144,10,0
524289,262144,10,0
524289,262144,10,0
0,262144,10,0
524289,262144,10,0
524289,262144,10,0
524289,262144,10,0
0,262144,10,0
0,262144,10,0
0,262144,10,0
262144,262144,10,0
524289,262144,10,0
0,262145,10,0
0,262145,10,0
0,262146,10,0
450567,262150,10,0
262144,262152,10,0
524289,262208,10,0
0,262208,10,0
360960,262208,10,0
376832,262208,10,0
385536,262216,10,0
524289,262216,10,0
524289,262216,10,0
0,262216,10,0
262144,262216,10,0
0,262236,10,0
1016832,262656,10,0
262144,262656,10,0
32768,262656,10,0
0,262720,10,0
262144,263168,10,0
0,263168,10,0
262144,263168,10,0
0,263168,10,0
558594,263680,10,0
0,263680,10,0
0,278528,10,0
524289,278528,10,0
524289,278528,10,0
524289,278528,10,0
524289,278528,10,0
262144,278528,10,0
524289,278528,10,0
524289,278528,10,0
262144,278528,10,0
524289,278528,10,0
32768,278528,10,0
32768,278528,10,0
32768,278528,10,0
0,278528,10,0
0,278528,10,0
32768,278528,10,0
0,278528,10,0
0,278528,10,0
524289,278528,10,0
491520,278528,10,0
0,278528,10,0
516608,278528,10,0
376838,278528,10,0
262144,278528,10,0
0,278528,10,0
32768,278528,10,0
262144,278529,10,0
0,278529,10,0
0,278536,10,0
524289,278536,10,0
0,278536,10,0
450567,278536,10,0
929282,278536,10,0
524289,278592,10,0
262144,278592,10,0
32768,278593,10,0
0,278600,10,0
32768,278600,10,0
0,278600,10,0
0,278600,10,0
524289,278600,10,0
262144,278600,10,0
262144,278600,10,0
262144,278600,10,0
0,278600,10,0
0,278604,10,0
262144,278616,10,0
524289,278617,10,0
262144,278649,10,0
377348,279040,10,0
262144,279040,10,0
262144,279040,10,0
0,279552,10,0
0,279553,10,0
524289,279553,10,0
360960,279616,10,0
524289,282749,10,0
361472,286720,10,0
262144,294912,10,0
32768,294912,10,0
524289,294976,10,0
376832,294976,10,0
362112,295424,10,0
517638,295936,10,0
262144,295936,10,0
524289,295936,10,0
361472,296448,10,0
377348,296448,10,0
1025538,296448,10,0
1016839,296448,10,0
886274,296448,10,0
369543,296454,10,0
886272,296704,10,0
32768,296704,10,0
361344,296832,10,0
362376,296838,10,0
508678,296838,10,0
886662,296838,10,0
