config_id,hamming
769927,0
786311,1
769927,0
786311,1
769927,0
1032071,1
1027975,2
1027974,3
1027975,2
503687,3
520071,4
257927,3
241543,2
245639,1
245638,2
237446,3
106374,4
122758,5
106374,4
368518,5
106374,4
114566,3
114564,4
638852,3
638854,2
769926,1
245638,2
241542,3
110470,4
634758,3
634754,4
626562,5
634754,4
632706,5
634754,4
110466,5
634754,4
626562,5
634754,4
634758,3
638854,2
638854,2
114566,3
638854,2
634758,3
651142,4
634758,3
634754,4
634758,3
638854,2
634758,3
634756,4
634752,5
634752,5
634752,5
634754,4
634758,3
626566,4
624518,5
886662,6
362374,7
886662,6
886663,5
1017735,4
1034119,5
1042311,4
1025927,3
1025923,4
1025927,3
1042311,4
1025927,3
1027975,2
1025927,3
1027975,2
896903,3
896902,4
634758,3
765830,2
769926,1
1032070,2
1027974,3
1025926,4
1025922,5
1017730,6
493442,7
1017730,6
1017734,5
493446,6
495494,5
493446,6
1017734,5
493446,6
362374,7
362374,7
370566,6
894854,5
896902,4
634758,3
634758,3
651142,4
651138,5
651142,4
655238,3
655270,4
655270,4
655238,3
638854,2
638850,3
638854,2
630662,3
638854,2
634758,3
638854,2
634758,3
651142,4
634758,3
651142,4
634758,3
638854,2
634758,3
896902,4
1027974,3
1027974,3
1027975,2
1027971,3
1027971,3
1027975,2
503687,3
1027975,2
1027975,2
1027973,3
1027975,2
1027719,3
1027975,2
1027974,3
1025926,4
1025926,4
1027974,3
1025926,4
1025922,5
1027970,4
503682,5
520066,6
503682,5
241538,4
110466,5
634754,4
634754,4
634758,3
634758,3
638854,2
638855,1
634759,2
634758,3
638854,2
769926,1
769927,0
769926,1
638854,2
634758,3
651142,4
634758,3
632710,4
894854,5
1025926,4
1017734,5
1025926,4
1025927,3
1017735,4
1017734,5
886662,6
362374,7
362374,7
362374,7
378758,8
362374,7
362374,7
361350,8
362374,7
362375,6
362375,6
362374,7
362375,6
362374,7
370566,6
370566,6
370564,7
370566,6
372614,5
370566,6
370562,7
370560,8
370560,8
362368,9
886656,8
362368,9
886656,8
624512,7
632704,6
634752,5
632704,6
624512,7
624514,6
626562,5
634754,4
634758,3
634822,4
634758,3
634754,4
110466,5
114562,4
114566,3
638854,2
638854,2
638854,2
638850,3
638854,2
634758,3
651142,4
126854,5
651142,4
651142,4
913286,5
913286,5
896902,4
913286,5
896902,4
634758,3
634754,4
634758,3
634758,3
638854,2
634758,3
634758,3
634758,3
896902,4
896902,4
900998,3
896902,4
1027974,3
1027970,4
503682,5
503686,4
1027974,3
1032070,2
1027974,3
1025926,4
1042310,5
1042310,5
1042311,4
1044359,3
1042311,4
1025927,3
1027975,2
1027974,3
1025926,4
1042310,5
1025926,4
1025926,4
1027974,3
1027975,2
1032071,1
1048455,2
1044359,3
1044358,4
1044358,4
1044359,3
1027975,2
1027975,2
765831,1
765830,2
765826,3
241538,4
765826,3
769922,2
769920,3
765824,4
765826,3
1027970,4
1027970,4
1027970,4
1025922,5
1025926,4
1025926,4
1025927,3
1042311,4
1025927,3
1027975,2
1044359,3
913287,4
1044359,3
1044358,4
1044356,5
1044358,4
782214,3
765830,2
765830,2
1027974,3
1025926,4
1027974,3
1027974,3
1027974,3
1025926,4
1017734,5
1017734,5
1017735,4
1017734,5
1017734,5
1017734,5
1034118,6
1033094,7
1041286,6
1042310,5
1042311,4
1042310,5
1025926,4
1025926,4
1025927,3
1017735,4
1025927,3
1025926,4
1025927,3
1025927,3
1025799,4
1025927,3
1025671,4
1025927,3
1025927,3
1025926,4
1025926,4
1025927,3
1025923,4
1025927,3
1025671,4
1025667,5
1025539,6
1029635,5
1029634,6
1025538,7
1027586,6
1027586,6
1027586,6
1025538,7
1025538,7
1041922,8
1040898,9
1040896,10
1041152,9
1041280,8
1042304,7
518016,8
518016,8
501632,7
503680,6
503682,5
1027970,4
765826,3
634754,4
896898,5
896902,4
913286,5
1044358,4
520070,5
503686,4
1027974,3
1027970,4
503682,5
1027970,4
1027974,3
1027975,2
1027974,3
1027975,2
1027974,3
1027982,4
1027983,3
1027975,2
1032071,1
1048455,2
786311,1
1048455,2
1048487,3
786343,2
1048487,3
1048455,2
1048454,3
1044358,4
1027974,3
1027974,3
896902,4
894854,5
894598,6
894606,7
894598,6
894854,5
632710,4
634758,3
638854,2
769926,1
638854,2
638854,2
638854,2
114566,3
638854,2
638854,2
769926,1
769414,2
769926,1
769922,2
769954,3
786338,4
786306,3
782210,4
765826,3
765830,2
765831,1
1027975,2
1027975,2
1025927,3
1025926,4
1025922,5
1025926,4
1025927,3
1025927,3
1027975,2
1025927,3
1025926,4
894854,5
1025926,4
501638,5
493446,6
493446,6
493442,7
493446,6
362374,7
886662,6
886662,6
886660,7
362372,8
362374,7
886662,6
894854,5
1025926,4
1030022,3
1025926,4
1024902,5
1025926,4
1025926,4
1027974,3
1027974,3
1027975,2
1027974,3
1032070,2
1030022,3
1025926,4
894854,5
894854,5
1025926,4
1025926,4
1027974,3
1027974,3
896902,4
1027974,3
1027974,3
1027970,4
1027970,4
896898,5
894850,6
894854,5
1025926,4
1027974,3
1027974,3
1027975,2
1019783,3
1019527,4
1027719,3
1027719,3
1027975,2
1044359,3
1044358,4
1044358,4
1042310,5
1042310,5
1044358,4
1027974,3
503686,4
520070,5
520070,5
1044358,4
1027974,3
1032070,2
769926,1
769922,2
765826,3
634754,4
634758,3
765830,2
1027974,3
1027974,3
1032070,2
1027974,3
1027970,4
1027970,4
1027974,3
1025926,4
1025927,3
1027975,2
1027974,3
1025926,4
1025927,3
1042311,4
976775,5
1042311,4
1025927,3
960391,4
1025927,3
1025926,4
1025798,5
1025542,6
1041926,7
1041927,6
1041926,7
1042182,6
1042310,5
1044358,4
1044358,4
1027974,3
1025926,4
1025926,4
1025922,5
1025922,5
1025920,6
1017728,7
493440,8
493440,8
362368,9
362368,9
362370,8
362242,9
493314,8
493442,7
493446,6
493447,5
493446,6
493447,5
493446,6
362374,7
362374,7
362374,7
886662,6
362374,7
362374,7
378758,8
378758,8
362374,7
370566,6
894854,5
370566,6
370566,6
108422,5
110470,4
634758,3
634754,4
896898,5
372610,6
372614,5
370566,6
362374,7
362374,7
493446,6
1017734,5
1017734,5
1019782,4
1027974,3
1044358,4
1027974,3
765830,2
769926,1
1032070,2
769926,1
769926,1
638854,2
114566,3
114566,3
638854,2
638850,3
638854,2
638850,3
655234,4
638850,3
638854,2
114566,3
638854,2
638598,3
638854,2
638854,2
638854,2
634758,3
110470,4
102278,5
102278,5
102278,5
364422,6
362374,7
362372,8
362368,9
370560,8
362368,9
362370,8
370562,7
370566,6
894854,5
370566,6
362374,7
493446,6
362374,7
370566,6
362374,7
493446,6
362374,7
493446,6
362374,7
886662,6
362374,7
362374,7
370566,6
362374,7
362374,7
493446,6
362374,7
493446,6
501638,5
1025926,4
1027974,3
1027970,4
1027974,3
1027974,3
1027970,4
1027971,3
1027970,4
896898,5
634754,4
765826,3
765826,3
765830,2
634758,3
110470,4
634758,3
634758,3
651142,4
634758,3
632710,4
634758,3
896902,4
1027974,3
1027970,4
1027974,3
503686,4
372614,5
372614,5
503686,4
501638,5
493446,6
493446,6
1017734,5
1025926,4
894854,5
896902,4
372614,5
896902,4
1027974,3
1025926,4
1024902,5
1025926,4
1027974,3
896902,4
913286,5
651142,4
782214,3
1044358,4
1048454,3
1048455,2
1044359,3
1044359,3
1044359,3
1027975,2
1027974,3
1025926,4
501638,5
1025926,4
1025926,4
1025926,4
501638,5
503686,4
520070,5
1044358,4
1027974,3
