simulation,timestep,config_id
1,1,511880
1,2,520072
1,3,1044360
1,4,1044359
1,5,520071
1,6,1044359
1,7,1027975
1,8,1027976
1,9,1025928
1,10,1025928
2,1,511880
2,2,509832
2,3,509831
2,4,509831
2,5,493447
2,6,493443
2,7,1017731
2,8,1019779
2,9,757635
2,10,765827
3,1,511880
3,2,520072
3,3,520071
3,4,520072
3,5,519048
3,6,1043336
3,7,1044360
3,8,1044376
3,9,1044360
3,10,782216
4,1,511880
4,2,520072
4,3,520071
4,4,520071
4,5,1044359
4,6,1027975
4,7,1032071
4,8,1031943
4,9,1032071
4,10,1032072
5,1,511880
5,2,495496
5,3,503688
5,4,503687
5,5,503688
5,6,1027976
5,7,1027975
5,8,765831
5,9,634759
5,10,765831
6,1,511880
6,2,495496
6,3,493448
6,4,501640
6,5,501639
6,6,501635
6,7,501639
6,8,518023
6,9,1042311
6,10,1025927
7,1,511880
7,2,520072
7,3,1044360
7,4,520072
7,5,520071
7,6,503687
7,7,501639
7,8,501639
7,9,501639
7,10,1025927
8,1,511880
8,2,1036168
8,3,1036167
8,4,1034119
8,5,1017735
8,6,886663
8,7,1017735
8,8,1017735
8,9,493447
8,10,501639
9,1,511880
9,2,520072
9,3,1044360
9,4,1044359
9,5,1042311
9,6,1025927
9,7,1025928
9,8,1025927
9,9,1042311
9,10,1042312
10,1,511880
10,2,520072
10,3,1044360
10,4,1027976
10,5,1027975
10,6,1025927
10,7,1025928
10,8,1025928
10,9,1025927
10,10,1027975
11,1,511880
11,2,520072
11,3,1044360
11,4,1044359
11,5,1044360
11,6,1042312
11,7,1044360
11,8,1043336
11,9,1044360
11,10,1044359
12,1,511880
12,2,520072
12,3,1044360
12,4,1027976
12,5,1027848
12,6,1027976
12,7,896904
12,8,1027976
12,9,1025928
12,10,1025927
13,1,511880
13,2,509832
13,3,493448
13,4,1017736
13,5,1017736
13,6,1025928
13,7,1017736
13,8,1019784
13,9,1027976
13,10,1027975
14,1,511880
14,2,520072
14,3,518024
14,4,518023
14,5,1042311
14,6,911239
14,7,386951
14,8,388999
14,9,520071
14,10,520072
15,1,511880
15,2,509832
15,3,518024
15,4,1042312
15,5,1044360
15,6,1044359
15,7,1027975
15,8,1027975
15,9,1027975
15,10,1044359
16,1,511880
16,2,520072
16,3,520071
16,4,1044359
16,5,1044355
16,6,1027971
16,7,1027975
16,8,1025927
16,9,1025927
16,10,1042311
17,1,511880
17,2,520072
17,3,1044360
17,4,1044359
17,5,1044360
17,6,1027976
17,7,1027976
17,8,1027975
17,9,765831
17,10,769927
18,1,511880
18,2,520072
18,3,520072
18,4,1044360
18,5,1044360
18,6,1036168
18,7,1044360
18,8,1044360
18,9,1027976
18,10,1027975
19,1,511880
19,2,511880
19,3,511880
19,4,509832
19,5,509832
19,6,509831
19,7,509832
19,8,518024
19,9,1042312
19,10,1025928
