config_id,comm_color
239488,#34649e
108416,#34649e
110464,#34649e
100224,#34649e
100225,#34649e
100226,#34649e
100230,#34649e
370564,#34649e
296836,#34649e
364420,#34649e
902020,#34649e
886660,#34649e
1017732,#34649e
362376,#34649e
362112,#34649e
361344,#34649e
362368,#34649e
369280,#34649e
385920,#34649e
944007,#34649e
976775,#34649e
911239,#34649e
780167,#34649e
1042311,#34649e
369543,#34649e
370630,#34649e
894598,#34649e
894854,#34649e
1025926,#34649e
1024903,#34649e
1025927,#34649e
896903,#34649e
886663,#34649e
894855,#34649e
759687,#34649e
493447,#34649e
1017735,#34649e
1017606,#34649e
1033990,#34649e
493442,#34649e
493446,#34649e
1017478,#34649e
1017730,#34649e
1017734,#34649e
370438,#34649e
362242,#34649e
362246,#34649e
329222,#34649e
886278,#34649e
787334,#34649e
378758,#34649e
362382,#34649e
361350,#34649e
362374,#34649e
361346,#34649e
362370,#34649e
886658,#34649e
886662,#34649e
376838,#78B7C5
377348,#78B7C5
377350,#78B7C5
377600,#78B7C5
311808,#78B7C5
376832,#78B7C5
115332,#78B7C5
117248,#78B7C5
525313,#78B7C5
33792,#78B7C5
0,#78B7C5
262144,#78B7C5
886272,#78B7C5
360960,#78B7C5
361472,#78B7C5
99840,#78B7C5
361984,#78B7C5
1016839,#78B7C5
491520,#78B7C5
1016832,#78B7C5
1016833,#78B7C5
516997,#F21A00
516865,#F21A00
516995,#F21A00
484230,#F21A00
385926,#F21A00
516998,#F21A00
1043334,#F21A00
1041286,#F21A00
1041287,#F21A00
1042054,#F21A00
1040902,#F21A00
1041926,#F21A00
910854,#F21A00
648838,#F21A00
910982,#F21A00
911238,#F21A00
392710,#F21A00
519686,#F21A00
517126,#F21A00
517638,#F21A00
450567,#F21A00
518918,#F21A00
508422,#F21A00
508678,#F21A00
1044097,#F21A00
520065,#F21A00
1044353,#F21A00
501377,#F21A00
1025665,#F21A00
1025920,#F21A00
1025924,#F21A00
1027968,#F21A00
1027969,#F21A00
1041288,#F21A00
1042305,#F21A00
1041280,#F21A00
1042304,#F21A00
774016,#F21A00
754560,#F21A00
885632,#F21A00
508800,#F21A00
1033090,#F21A00
500224,#F21A00
385536,#F21A00
516608,#F21A00
1040896,#F21A00
1041024,#F21A00
517632,#F21A00
1041920,#F21A00
929282,#F21A00
1011200,#F21A00
1025539,#F21A00
1025795,#F21A00
1016322,#F21A00
1017346,#F21A00
1025538,#F21A00
1041922,#F21A00
632706,#c99700
632710,#c99700
634498,#c99700
634754,#c99700
651170,#c99700
896898,#c99700
913282,#c99700
638470,#c99700
634374,#c99700
634502,#c99700
636806,#c99700
638850,#c99700
638854,#c99700
110470,#c99700
114566,#c99700
626566,#c99700
634758,#c99700
654262,#c99700
655286,#c99700
648070,#c99700
652162,#c99700
347910,#c99700
118534,#c99700
122758,#c99700
388999,#c99700
126854,#c99700
388998,#c99700
782214,#c99700
651142,#c99700
655238,#c99700
260992,#c99700
125826,#c99700
76672,#c99700
109440,#c99700
631680,#c99700
633728,#c99700
633472,#c99700
634496,#c99700
634752,#c99700
654976,#c99700
114560,#c99700
638848,#c99700
632320,#c99700
632448,#c99700
558594,#c99700
765442,#c99700
632322,#c99700
634370,#c99700
123399,#c99700
650759,#c99700
126464,#c99700
126592,#c99700
650752,#c99700
650754,#c99700
507778,#EBCC2A
1032066,#EBCC2A
769922,#EBCC2A
786306,#EBCC2A
763522,#EBCC2A
763778,#EBCC2A
1025922,#EBCC2A
1027842,#EBCC2A
1027970,#EBCC2A
1042306,#EBCC2A
1044354,#EBCC2A
499462,#EBCC2A
503558,#EBCC2A
507654,#EBCC2A
372610,#EBCC2A
372614,#EBCC2A
503682,#EBCC2A
503686,#EBCC2A
501506,#EBCC2A
501634,#EBCC2A
436102,#EBCC2A
501638,#EBCC2A
519815,#EBCC2A
511879,#EBCC2A
503687,#EBCC2A
520071,#EBCC2A
524175,#EBCC2A
524165,#EBCC2A
524167,#EBCC2A
515974,#EBCC2A
522118,#EBCC2A
1044230,#EBCC2A
1044356,#EBCC2A
520070,#EBCC2A
1044358,#EBCC2A
1036215,#EBCC2A
1047431,#EBCC2A
1048454,#EBCC2A
1048455,#EBCC2A
978831,#EBCC2A
1044355,#EBCC2A
1044359,#EBCC2A
769927,#EBCC2A
769943,#EBCC2A
1032119,#EBCC2A
769959,#EBCC2A
769975,#EBCC2A
1048230,#EBCC2A
638886,#EBCC2A
769958,#EBCC2A
1032102,#EBCC2A
1032110,#EBCC2A
1031685,#EBCC2A
765575,#EBCC2A
765831,#EBCC2A
1027719,#EBCC2A
1031815,#EBCC2A
995207,#EBCC2A
1027975,#EBCC2A
1032071,#EBCC2A
692102,#EBCC2A
757638,#EBCC2A
761734,#EBCC2A
769926,#EBCC2A
1032068,#EBCC2A
1031046,#EBCC2A
1032070,#EBCC2A
1027982,#EBCC2A
765830,#EBCC2A
1027974,#EBCC2A
