node_x,node_y,hamming
120,109,1
28,110,1
38,110,1
97,110,1
2,111,1
6,111,1
29,112,1
31,112,1
78,112,1
23,113,1
60,113,1
54,114,1
3,115,1
44,115,1
0,116,1
101,116,1
136,116,1
75,117,1
91,117,1
142,117,1
17,118,1
45,118,1
12,119,1
5,120,1
34,120,1
81,120,1
109,120,1
29,121,1
34,121,1
64,121,1
27,122,1
39,122,1
41,122,1
51,122,1
137,122,1
48,123,1
56,123,1
68,123,1
35,124,1
45,124,1
125,124,1
134,124,1
16,125,1
43,125,1
124,125,1
9,126,1
127,126,1
18,127,1
75,127,1
91,127,1
126,127,1
43,128,1
146,128,1
83,129,1
147,129,1
43,130,1
79,131,1
21,132,1
25,132,1
57,132,1
40,133,1
67,133,1
135,133,1
43,134,1
82,134,1
124,134,1
17,135,1
39,135,1
62,135,1
133,135,1
140,135,1
4,136,1
116,136,1
40,137,1
74,137,1
122,137,1
101,138,1
52,139,1
70,139,1
6,140,1
13,140,1
135,140,1
18,141,1
48,141,1
104,142,1
117,142,1
146,142,1
148,142,1
46,143,1
52,143,1
87,143,1
35,144,1
70,144,1
96,144,1
102,144,1
46,145,1
70,145,1
77,145,1
80,145,1
128,146,1
142,146,1
23,147,1
129,147,1
91,148,1
142,148,1
4,149,1
72,149,1
74,149,1
