config_from,entropy
0,3.8805171270882326
32768,3.878551472731014
76672,3.8846073225145608
99840,3.947416119466111
100224,3.9274494290735147
100225,3.8540931582190043
100226,3.806599049568823
100230,3.537051477176797
108416,4.037660763272687
109440,4.039916457997277
110464,3.9685250958700236
110470,3.8946701110668034
114560,3.6595622749529975
114566,3.5669019054683035
115332,3.9939473913699812
117248,3.918818966899962
118534,3.7921069839833943
122758,3.690012947920688
123399,4.093291588370814
125826,3.99676414712951
126464,4.339939756673574
126592,4.013042816418825
126854,3.7353817698717995
239488,4.008662580625127
260992,4.207414067342982
262144,3.9455816187643733
311808,3.7129564250263387
329222,3.845552548960165
347910,3.8961320603734997
360960,4.067802376173201
361344,3.745575712079523
361346,3.6109064619800177
361350,3.290694493483045
361472,3.934322910471188
361984,4.0305937811333035
362112,3.855567440514557
362242,3.919690232243713
362246,3.380627679193779
362368,3.8004758844759463
362370,3.888053200248319
362374,3.641918195982646
362376,3.8653807438102357
362382,3.5776163536001597
364420,3.7523716735513393
369280,4.164953971165634
369543,3.5980748146660964
370438,3.4874418878323965
370564,3.649406372144882
370630,3.7070123105867934
372610,3.70794706725841
372614,3.665103816457818
376832,3.927048398992104
376838,4.208106282033401
377348,3.8594271703841243
377350,4.039814927269802
377600,4.017583083166052
378758,3.3705695697983544
385536,4.144024045415053
385920,4.149256526852698
385926,3.815582644825937
388998,3.7440122320453524
388999,3.482139228355938
392710,4.260160075742289
436102,3.4124722405288734
450567,4.303583407277623
484230,3.8078234479961344
491520,3.956496652960562
493442,3.6796589747594366
493446,3.6656169804949066
493447,3.429192775939553
499462,3.6966108390393684
500224,4.16059275507174
501377,3.935707339852027
501506,3.8907205282825226
501634,3.558520928551315
501638,3.3546155549062298
503558,3.5387738439228578
503682,3.7273325326746254
503686,3.5355845367682877
503687,3.3319800632831966
507654,3.7591486153233507
507778,3.494658297697104
508422,4.1822148955127405
508678,3.97399972067719
508800,4.020399838925579
511879,3.7098005876599514
515974,3.484673029070718
516608,3.9782499470570447
516865,4.178816914776833
516995,3.8741902566371196
516997,3.8390392859686764
516998,3.7087692913626737
517126,4.194243338422202
517632,4.070329091565359
517638,4.072182611966901
518918,3.679479924106105
519686,4.00613586523297
519815,3.345012296661451
520065,3.654058772847785
520070,3.4966429717541265
520071,3.3345378747995946
522118,3.7061410452430428
524165,3.216949354152227
524167,3.2727113329058346
524175,3.410610514927797
524289,3.7021523805441894
558594,4.112207962766327
626566,3.6539572421203097
631680,4.232434188519891
632320,4.254927594304643
632322,4.029611526075513
632448,3.9853169291964283
632706,3.8035542019164756
632710,3.7807897754641564
633472,4.066078865185505
633728,4.063262109425977
634370,4.079249594106284
634374,3.9430358836724118
634496,4.016730837522105
634498,3.890822059009997
634502,3.7203359851384756
634752,3.870163153926982
634754,3.6741174332546156
634758,3.46389604895104
636806,3.613060625977133
638470,3.8355493352185333
638848,3.8485410134859808
638850,3.639614604260206
638854,3.6768422189999086
638886,3.512031355999888
648070,3.8762669007083783
648838,3.900594807194868
650752,4.126763121067945
650754,4.189010856984557
650759,4.046001185078869
651142,3.6140132581069175
651170,3.578308568290579
652162,4.021963318959751
654262,3.7205555909026145
654848,4.178995965430165
655238,3.847848798795561
655286,3.5746170292817214
692102,3.577948093319974
754560,3.8642384577989173
757638,3.2852768260486176
759687,3.427149203044801
761734,3.582328329113673
763522,4.013332856786197
763782,3.3808699321086935
765442,4.181522680822321
765575,3.4160505257051432
765830,3.6257516606490072
765831,3.460107571704845
769922,3.549045306056438
769926,3.6760819433701974
769927,3.2473619877203093
769943,3.334306334658276
769958,3.582038288746302
769959,3.239300674098699
769975,3.605290825919128
774016,3.8075143879289595
780167,3.16011429456823
782214,3.4833901304173533
786306,3.6636524703793247
787334,3.5707689772249145
885632,4.027195800397397
886272,4.132174653158922
886274,4.132866867849342
886278,3.961279063077309
886658,3.8847673534680878
886660,3.6896107735976393
886662,3.398850576974704
886663,3.64598937170917
894598,3.6780954947252664
894854,3.5179633940149966
894855,3.484043907096488
896898,3.869470939236562
896903,3.346487723198641
902020,3.856300210315783
910854,3.9957818920717187
910982,3.968075024549125
911238,3.512853580104151
911239,3.2636596767094304
913282,3.5175538778049047
913286,3.5171038064840054
929282,4.0035601086013255
944007,3.3514357067382257
976775,3.5208218491269685
978831,3.2301687257008176
995207,3.3003060664727526
1011200,4.196077839123941
1016322,4.112900177456746
1016832,3.982388039481223
1016833,4.036518477261369
1016839,4.078557379415864
1017478,3.4105280039001262
1017606,3.3520804230424712
1017730,3.70953902597895
1017732,3.395963386611942
1017734,3.3266581275425136
1017735,3.565387068061944
1024903,3.4611483269886882
1025538,4.105833195317363
1025539,4.0055736599563945
1025665,3.769323537831271
1025795,3.3279175795162756
1025920,3.7373953212268685
1025922,3.491372450916873
1025924,3.550623236178988
1025926,3.4621701642994
1025927,3.4046858187997313
1027719,3.3082058759446022
1027842,3.4514436397431085
1027968,3.6779845050112265
1027969,3.6856327121269894
1027970,3.3640982627237292
1027974,3.4546139271978733
1027975,3.342597715224971
1027982,3.299002674923349
1031046,3.4384651577770082
1031685,3.643132060838835
1031815,3.270465097167811
1032066,3.5624775966582196
1032068,3.631095131800693
1032070,3.4419419122258037
1032071,3.436157828739785
1032102,3.4686365031509228
1032110,3.712197293638265
1032119,3.5471332854288438
1033090,3.7714480789003795
1033990,3.5450087443597353
1036215,3.499600738767378
1040896,4.125378691687106
1040902,4.24560491744067
1041024,4.251529613568735
1041280,3.9708727606088496
1041286,3.4793440080074114
1041287,3.179280154220308
1041288,4.153506753232552
1041920,4.198783605169428
1041922,4.185612876248649
1041926,4.109231176053272
1042304,3.799423451379342
1042305,3.637005377840379
1042306,3.5994592440469355
1042311,3.209592331645473
1043334,3.41065801331397
1044097,3.780659766050312
1044102,3.5337204131385436
1044134,3.4588628997906983
1044230,3.457279138132556
1044353,3.514334947722328
1044354,3.2454745989189084
1044355,3.186686217966549
1044356,3.5735963362126455
1044358,3.530322432402636
1044359,3.2875651353860365
1047431,3.368188458150058
1048454,3.340443551227856
1048455,3.379736132226056
